¶ Linstruction des	¶ L'instruction des
enfans/ cõtenant la ma-	enfans/ contenant la ma¬
niere de prononcer	niere de prononcer
et escrire en	et escrire en
frãcoys.	francoys.
Loraison de Iesu Christ.	L'oraison de Jesu Christ.
Les articles de la foy.	Les articles de la foy.
Les dix cõmandemens.	Les dix commandemens.
La salutation angelicque.	La salutation angelicque.
Auec la declaration diceux/ faicte en	Avec la declaration d'iceux/ faicte en
maniere de recueil/ des seulles sentẽces	maniere de recueil/ des seulles sentences
de lescripture saincte.	de l'escripture saincte.
Item les figures des chiphres/ et leurs	Item les figures des chiphres/ et leurs
ualeurs.	valeurs.
Isaie.5.	Isaie.5.
Mon peuple a este captif/ pourtant	Mon peuple a este captif/ pourtant
quil na pas eu science.	qu'il n'a pas eu science.
Psal.93.	Psal.93.
Seigñr/ biẽheureux est lhõme/ lequel	Seigneur/ bienheureux est l'homme/ lequel
tu corrige/ ⁊ luy enseigne ta loy.	tu corrige/ et luy enseigne ta loy.
a b c d e f g h i k l m n o	a b c d e f g h i k l m n o
p q r s t u x y z	p q r s t u x y z
A B C D E F G H I L M	A B C D E F G H I L M
N O P Q R S T U X Y Z	N O P Q R S T U X Y Z
A B C D E F G H I K L M	A B C D E F G H I K L M
N O P Q R S T U X	N O P Q R S T U X
¶ Consonantes.	¶ Consonantes.
b c d f g k l m n p q r s t z	b c d f g k l m n p q r s t z
¶ Aspiration.	¶ Aspiration.
h	h
¶ Uoyeles.	¶ Voyeles.
a e i y o u	a e i y o u
¶ Consonantes et uoyeles.	¶ Consonantes et voyeles.
i et u	i et u
¶ Doubles.	¶ Doubles.
d d/ i y/ m m/ n n/ r r/ s s/ u u/	d d/ i y/ m m/ n n/ r r/ s s/ u u/
¶ La forme doraison/ laquelle Iesus Christ	¶ La forme d'oraison/ laquelle Jesus Christ
a enseigne aux siẽs/ les adressant uers dieu/	a enseigne aux siens/ les adressant vers dieu/
nostre cõmun pere/ pour obtenir toutes cho¬	nostre commun pere/ pour obtenir toutes cho¬
ses en son nom.  Matth.6.	ses en son nom.  Matth.6.
N	N¬
Ostre pere/ qui es eis cieux/	Ostre pere/ qui es eis cieux/
ton nom soit sanctifie.	ton nom soit sanctifie.
Ton royaume aduienne.	Ton royaume advienne.
Ta uolunte soit faicte/ ainsi en la ter¬	Ta volunte soit faicte/ ainsi en la ter¬
re comme au ciel.	re comme au ciel.
Donnè nous au iourdhuy nostre pain	Donnè nous aujourdhuy nostre pain
quotidien.	quotidien.
Et nous pardonnè noz offenses/ ainsi	Et nous pardonnè noz offenses/ ainsi
que nous pardonnons a ceux qui nous	que nous pardonnons a ceux qui nous
offensent.	offensent.
Et ne nous induis point en tentation:	Et ne nous induis point en tentation:
Mais deliure nous du mauuais.	Mais delivre nous du mauvais.
¶ Car a toy est le royaume/ ⁊ la puissãce/	¶ Car a toy est le royaume/ et la puissance/
⁊ la gloire eis siecles des siecles. Amẽ.	et la gloire eis siecles des siecles. Amen.
¶ Les articles de nostre foy/ lesquelz deuõs	¶ Les articles de nostre foy/ lesquelz devons
croire de cueur/ ⁊ confesser de bouche.	croire de cueur/ et confesser de bouche.
I	J¬
E croy en Dieu le pere tout puissãt/	E croy en Dieu le pere tout puissant/
createur du ciel ⁊ de la terre.	createur du ciel et de la terre.
Et en Iesus Christ son seul filz/ nostre	Et en Jesus Christ son seul filz/ nostre
seigneur.	seigneur.
Conceu du sainct Esperit/ nay de la	Conceu du sainct Esperit/ nay de la
uierge Mariè.	vierge Mariè.
Ayant souffert soubz Ponce Pilate/	Ayant souffert soubz Ponce Pilate/
crucifie/ mort/ ⁊ enseuely/ descẽdu aux	crucifie/ mort/ et ensevely/ descendu aux
enfers.	enfers.
Le tiers iour ressuscité des mortz/	Le tiers jour ressuscité des mortz/
