¶ La maniere ⁊ fassõ	¶ La maniere et fasson
quon tiẽt en baillant le sainct ba¬	qu'on tient en baillant le sainct ba¬
ptesme en la saincte cõgregation	ptesme en la saincte congregation
de dieu: ⁊ en espousant ceulx qui	de dieu: et en espousant ceulx qui
uiennent au sainct mariage/ ⁊ a	viennent au sainct mariage/ et a
la saĩcte Cene de nostre seigñr/	la saincte Cene de nostre seigneur/
es lieux lesq̃lz dieu de sa grace a	es lieux lesquelz dieu de sa grace a
uisite/ faisãt q̃ selõ sa saincte pa¬	visite/ faisant que selon sa saincte pa¬
rolle ce quil a deffẽdu en sõ eglise	rolle ce qu'il a deffendu en son eglise
soit reiecte/ ⁊ ce quil a cõman¬	soit rejecte/ et ce qu'il a comman¬
de soit tenu. Aussi la ma¬	de soit tenu. Aussi la ma¬
niere cõmẽt la predica¬	niere comment la predica¬
tion cõmẽce/ moyẽne	tion commence/ moyenne
⁊ finit/ auec les	et finit/ avec les
prieres ⁊ exhor	prieres et exhor¬
tatiõs quon	tations qu'on
faict a	faict a
tous ⁊ pour tous/ ⁊ de la	tous et pour tous/ et de la
uisitation des	visitation des
malades.	malades.
Chrestiens pour lhõneur de	Chrestiens pour l'honneur de
dieu nostre tresbon pere/ ne regar	dieu nostre tres bon pere/ ne regar¬
dez les coustumes ne le temps ⁊	dez les coustumes ne le temps et
annees/ ne les hõmes/ ne la mul	annees/ ne les hommes/ ne la mul¬
titude/ ne lapparẽce q̃ tout peult	titude/ ne l'apparence que tout peult
auoir/ soit en sciẽce/ uertu/ doctri¬	avoir/ soit en science/ vertu/ doctri¬
ne/ saĩctete/ ou autorite: mesmes	ne/ sainctete/ ou autorite: mesmes
quant ce seroit ung ange du ciel/	quant ce seroit ung ange du ciel/
mais seulemẽt pensez/ regardez/	mais seulement pensez/ regardez/
⁊ diligẽment examinez ce que le	et diligemment examinez ce que le
bon sauueur Iesus a ordonne et	bon sauveur Jesus a ordonne et
commande/ duquel le pere dit.	commande/ duquel le pere dit.
Cestuy est mon filz bien ayme	Cestuy est mon filz bien ayme
ouyez le. Matth.17.A.	ouyez le. Matth.17.A.
Nomini tuo da gloriam Do¬	Nomini tuo da gloriam Do¬
mine. Psal.113.B.	mine. Psal.113.B.
Esprouuez les esperitz silz sont	Esprouvez les esperitz s'ilz sont
de dieu. 1.Ioã.4.A.	de dieu. 1.Joã.4.A.
Preface.	Preface.
Q	Q¬
uant nostre sauueur et	uant nostre sauveur et
redempteur cõuersoit uisi	redempteur conversoit visi¬
blement en ce monde/ au	blement en ce monde/ au
