¶ La p̃miere partie de luniõ	¶ La premiere partie de l'union
de plusieurs passaiges de lescripture saĩcte.	de plusieurs passaiges de l'escripture saincte.
Liure tresutile a toꝰ amateurs de paix:	Livre tres utile a tous amateurs de paix:
Extraict des autẽticques docteurs	Extraict des autenticques docteurs
de leglise chrestienne/ par ue¬	de l'eglise chrestienne/ par ve¬
nerable docteur Herman	nerable docteur Herman
Bodium: nouuelle¬	Bodium: nouvelle¬
ment reueu et	ment reveu et
corrige.	corrige.
¶ Les noms des docteurs: desquelz	¶ Les noms des docteurs: desquelz
ce present liure est extraict.	ce present livre est extraict.
¶ Athanaise.	¶ Athanaise.
¶ Augustin.	¶ Augustin.
¶ Eusebe.	¶ Eusebe.
¶ Hierosme.	¶ Hierosme.
¶ Chrysostome.	¶ Chrysostome.
¶ Hylaire.	¶ Hylaire.
¶ Cyrille.	¶ Cyrille.
¶ Lactance.	¶ Lactance.
¶ Origene.	¶ Origene.
¶ Fulgence.	¶ Fulgence.
¶ Theophylacte.	¶ Theophylacte.
¶ Prosper.	¶ Prosper.
¶ Histoire tripartie.	¶ Histoire tripartie.
¶ Beda.	¶ Beda.
¶ Clement.	¶ Clement.
¶ Bernard.	¶ Bernard.
¶ Gregoire.	¶ Gregoire.
¶ Gratiã au Decret.	¶ Gratian au Decret.
¶ Ambroise.	¶ Ambroise.
¶ Glose ordinaire.	¶ Glose ordinaire.
¶ Tu trouueras les matieres contenues	¶ Tu trouveras les matieres contenues
en la premiere partie de ce liure/ en	en la premiere partie de ce livre/ en
la paige suyuante.	la paige suyvante.
¶ Les matieres conte¬	¶ Les matieres conte¬
nues en la p̃miere partie/	nues en la premiere partie/
du present liure.	du present livre.
¶ De la trãsgression de Adam: ⁊ du	¶ De la transgression de Adam: et du
peche originel/ Chapitre.i.	peche originel/ Chapitre.i.
¶ Tous hõmes sont p̃uaricateurs	¶ Tous hommes sont prevaricateurs
par Adam/ Chapitre.ii.	par Adam/ Chapitre.ii.
¶ Cõment nous sommes deliurez	¶ Comment nous sommes delivrez
de peche: ⁊ du baptesme des petis	de peche: et du baptesme des petis
enfans/ Chapitre.iii.	enfans/ Chapitre.iii.
¶ De predestinatiõ/ uocatiõ/ iustifi¬	¶ De predestination/ vocation/ justifi¬
cation/ ⁊ glorificatiõ/ Chap̃.iiii.	cation/ et glorification/ Chapitre.iiii.
¶ De la double loy/ ascauoir natu¬	¶ De la double loy/ ascavoir natu¬
relle ⁊ positiue: ⁊ du peche/ Ch.u.	relle et positive: et du peche/ Chapitre.v.
¶ De la loy positiue/ qͥ est double: a¬	¶ De la loy positive/ qui est double: a¬
scauoir diuine ⁊ hũaine/ Ch.ui.	scavoir divine et humaine/ Chapitre.vi.
¶ Des oeuures de la loy/ Ch.uii.	¶ Des oeuvres de la loy/ Chapitre.vii.
¶ De la loy iudiciale: et du glaiue	¶ De la loy judiciale: et du glaive
seculier/ Chapitre.uiii.	seculier/ Chapitre.viii.
¶ De grace: ⁊ de merite/ Cha.ix.	¶ De grace: et de merite/ Chapitre.ix.
¶ De la foy: ⁊ des oeuures/ Ch.x.	¶ De la foy: et des oeuvres/ Chapitre.x.
¶ Des mandemẽs: ⁊ cõmandemẽs	¶ Des mandemens: et commandemens
des hõmes/ Chapitre.xi.	des hommes/ Chapitre.xi.
¶ De la trãsgression de	¶ De la transgression de
Adam: ⁊ du peche originel. Geñ.3.	Adam: et du peche originel. Geñ.3.
Chapitre premier.	Chapitre premier.
¶ Rom̃.5.B.	¶ Rom̃.5.B.
A	A¬
Insi cõe par ung hõme/	Insi come par ung homme/
peche est entre en ce mõ¬	peche est entre en ce mon¬
de/ et la mort par le pe¬	de/ et la mort par le pe¬
che/ ainsi pareillement	che/ ainsi pareillement
est la mort entree en toꝰ les hõmes:	est la mort entree en tous les hommes:
en ce en quoy tous ont peche.	en ce en quoy tous ont peche.
1.Cor.15.C. ¶ Car certainemẽt la	1.Cor.15.C. ¶ Car certainement la
mort est ꝑ ung hõme: ⁊ ꝑ ung hõme/	mort est par ung homme: et par ung homme/
est la resurrectiõ des mortz. Et ainsi	est la resurrection des mortz. Et ainsi
q̃ tous meurẽt ꝑ Adã: ainsi pareille¬	que tous meurent par Adam: ainsi pareille¬
mẽt serõt tous uiuifiez par Christ.	ment seront tous vivifiez par Christ.
¶ Augustin/ en son liure cõtra Fortu¬	¶ Augustin/ en son livre contra Fortu¬
natum/ en la seconde disputation.	natum/ en la seconde disputation.
¶ Ie dis q̃ le franc arbitre de la uolunte/ a este	¶ Je dis que le franc arbitre de la volunte/ a este
en lhõme/ qui premier fut forme. Il fut faict	en l'homme/ qui premier fut forme. Il fut faict
tellemẽt/ que riẽs ne resistoit a sa uolunte/ sil	tellement/ que riens ne resistoit a sa volunte/ s'il
uouloit garder les cõmãdemẽs de dieu. Mais	vouloit garder les commandemens de dieu. Mais
apres q̃ de frãche uolunte il eut offense/ nous	apres que de franche volunte il eut offense/ nous
qui sõmes descendus de sa lignee/ en auõs este	qui sommes descendus de sa lignee/ en avons este
precipitez en necessite. Parquoy/ tãdis q̃ nous	precipitez en necessite. Parquoy/ tandis que nous
portõs limaige de lhõe terriẽ: cest a dire/ tãdis	portons l'imaige de l'home terrien: c'est a dire/ tandis
q̃ nous uiuõs selon la chair/ qui est aussi ap¬	que nous vivons selon la chair/ qui est aussi ap¬
pellee le uieil hõme/ nous auõs necessairemẽt	pellee le vieil homme/ nous avons necessairement
nostre coustume: cest q̃ nous ne faisons point	nostre coustume: c'est que nous ne faisons point
ce que nous uoulons. Mais quãd la grace de	ce que nous voulons. Mais quand la grace de
dieu noꝰ a inspire lamour diuine/ ⁊ q̃lle nous	dieu nous a inspire l'amour divine/ et qu'elle nous
a faict subiectz a sa uolũte/ adõc sõmes nous	a faict subjectz a sa volunte/ adonc sommes nous
en uraye liberte: ⁊ noꝰ est dit * Uous estes ap¬	en vraye liberte: et nous est dit * Vous estes ap¬
pellez en liberte: * ⁊ la grace ð dieu ma deliure	pellez en liberte: * et la grace de dieu m'a delivre
de la loy de peche/ ⁊ de mort. * La loy de peche	de la loy de peche/ et de mort. * La loy de peche
est * q̃ tous ceulx qͥ pecherõt/ mourrõt. Nous	est * que tous ceulx qui pecheront/ mourront. Nous
sõmes deliurez de ceste loy/ quãt nous cõmen¬	sommes delivrez de ceste loy/ quant nous commen¬
ceõs estre iustes. * La loy de la mort/ est ce qͥ a	ceons estre justes. * La loy de la mort/ est ce qui a
este dit a lhõe * Tu es terre/ ⁊ en terre retour¬	este dit a l'home * Tu es terre/ et en terre retour¬
neras. Et de ceste terre sõmes naiz hõmes: car	neras. Et de ceste terre sommes naiz hommes: car
nous sõmes terre/ ⁊ irõs en la terre/ a cause du	nous sommes terre/ et irons en la terre/ a cause du
peche du p̃mier hõme. Mais quãd nous som	peche du premier homme. Mais quand nous som¬
mes cõuertis a la iustice/ nous sõmes deliurez	mes convertis a la justice/ nous sommes delivrez
a cause de la grace de dieu: laq̃lle nous a de¬	a cause de la grace de dieu: laquelle nous a de¬
liure de la loy de peche/ ⁊ de la mort: tellemẽt/	livre de la loy de peche/ et de la mort: tellement/
q̃ ap̃s la mesme chair qͥ nous a cause la peine	que apres la mesme chair qui nous a cause la peine
tandis q̃ nous demourions en peche/ nous est	tandis que nous demourions en peche/ nous est
rẽdue subiecte en la resurrectiõ: ⁊ ne nous mo-	rendue subjecte en la resurrection: et ne nous mo-
leste plus de q̃lque aduersite/ parquoy nous	leste plus de quelque adversite/ parquoy nous
puissiõs moins garder la loy de dieu ⁊ les cõ-	puissions moins garder la loy de dieu et les com-
mandemens diuins.	mandemens divins.
Ecclĩ.15.C. ¶ Dieu a ꝯstitue lhõe	Ecclĩ.15.C. ¶ Dieu a constitue l'home
des le cõmẽcemẽt: ⁊ la delaisse en la	des le commencement: et l'a delaisse en la
main de son conseil. Il luy adiousta	main de son conseil. Il luy adjousta
ses cõmandemẽs ⁊ mãdemẽs: se tu	ses commandemens et mandemens: se tu
ueulx garder les cõmandemens/ et	veulx garder les commandemens/ et
a tousiours garder la foy plaisante/	a tousjours garder la foy plaisante/
ilz te garderont. Il a mis deuãt toy	ilz te garderont. Il a mis devant toy
leaue ⁊ le feu: estẽdz ta main auquel	l'eaue et le feu: estendz ta main auquel
que tu uouldras. Deuant lhõme est	que tu vouldras. Devant l'homme est
la uie ⁊ la mort: le bien ⁊ le mal.	la vie et la mort: le bien et le mal.
¶ Augustin/ en son liure du nouueau	¶ Augustin/ en son livre du nouveau
canticque: au huytiesme chapitre.	canticque: au huytiesme chapitre.
¶ Quelle chose peult faire le franc arbitre qͥ	¶ Quelle chose peult faire le franc arbitre qui
nest point ayde: il est demõstre en Adã. * Il est	n'est point ayde: il est demonstre en Adam. * Il est
suffisant ꝑ luy/ a mal faire: mais a bien/ nõ:	suffisant par luy/ a mal faire: mais a bien/ non:
sil nest ayde de dieu. Car ce p̃mier hõe a receu	s'il n'est ayde de dieu. Car ce premier home a receu
le franc arbitre/ droict: ⁊ mist deuãt luy (cõme	le franc arbitre/ droict: et mist devant luy (comme
dist lescripture) le feu ⁊ leaue: auq̃l q̃ tu ueulx	dist l'escripture) le feu et l'eaue: auquel que tu veulx
(dist il) estendz ta main. Il esleut le feu/ ⁊ de¬	(dist il) estendz ta main. Il esleut le feu/ et de¬
laissa leaue: regarde le iuste iuge. Ce q̃ lhõme	laissa l'eaue: regarde le juste juge. Ce que l'homme
a esleu en sa liberte/ ce mesme a il receu: il a	a esleu en sa liberte/ ce mesme a il receu: il a
uoulu le mal/ ⁊ le mal la suiuy. Regardez	voulu le mal/ et le mal l'a suivy. Regardez
de rechief ce iuste iuge qui faict misericorde.	de rechief ce juste juge qui faict misericorde.
* Car quand il ueit que lhõme par son mau¬	* Car quand il veit que l'homme par son mau¬
uais usaige de larbitre de sa franche uolunte	vais usaige de l'arbitre de sa franche volunte
en toute sa lignee/ lauoit dãnee en soy cõme	en toute sa lignee/ l'avoit damnee en soy comme
en la racine/ deuãt que nul le priast/ il est de¬	en la racine/ devant que nul le priast/ il est de¬
scendu du ciel: ⁊ a guery le gendre humain en	scendu du ciel: et a guery le gendre humain en
destruisãt lorgueil par son humilite: il a me¬	destruisant l'orgueil par son humilite: il a me¬
ne les desuoyez iusq̃s a la uoye: ⁊ a mene les	ne les desvoyez jusques a la voye: et a mene les
estrãgiers en leurs pays. Que nature humai¬	estrangiers en leurs pays. Que nature humai¬
ne doncques ne se glorifie point de soy: mais	ne doncques ne se glorifie point de soy: mais
quelle se glorifie en celuy qui la faict.	qu'elle se glorifie en celuy qui l'a faict.
¶ Augustin/ en son liure/ de la cor¬	¶ Augustin/ en son livre/ de la cor¬
reption ⁊ de grace. Chap.x.	reption et de grace. Chapitre.x.
¶ Aussi on nous demande (autant qͥl appar¬	¶ Aussi on nous demande (autant qu'il appar¬
tiẽt a ce don qui est de perseuerer en bien iusq̃s	tient a ce don qui est de perseverer en bien jusques
a la fin) quelle chose nous sentõs de ce p̃mier	a la fin) quelle chose nous sentons de ce premier
hõme: lequel urayemẽt sans quelque uice fut	homme: lequel vrayement sans quelque vice fut
faict bõ. Pour laquelle chose nous cõfessons	faict bon. Pour laquelle chose nous confessons
tres salutairemẽt ce q̃ nous croyõs iustemẽt.	tres salutairement ce queue nous croyons justement.
* ascauoir que dieu qui est le seigñr de toutes	* ascavoir que dieu qui est le seigneur de toutes
choses: qͥ a cree toutes choses fort bõnes: aussi	choses: qui a cree toutes choses fort bonnes: aussi
a congneu que maulx uiendroient de biens: ⁊	a congneu que maulx viendroient de biens: et
aussy a sceu/ qͥl appartenoit mieulx a sa tres¬	aussy a sceu/ qu'il appartenoit mieulx a sa tres
puissante bonte/ de bien faire des mauuaises	puissante bonte/ de bien faire des mauvaises
choses/ que de non permettre que les maulx	choses/ que de non permettre que les maulx
fussent faictz. Et a ainsy ordonne la uie des	fussent faictz. Et a ainsy ordonne la vie des
anges/ ⁊ des hommes: affin que par auant il	anges/ et des hommes: affin que par avant il
monstrast quelle chose pouoit leur franc arbi¬	monstrast quelle chose povoit leur franc arbi¬
tre: puis apres/ quelle chose pouoit le benefice	tre: puis apres/ quelle chose povoit le benefice
de sa grace: ⁊ le iugement de sa iustice.	de sa grace: et le jugement de sa justice.
¶ Du.xi.Chapitre.	¶ Du.xi.Chapitre.
¶ Le premier hõme na pas eu ceste grace/ de	¶ Le premier homme n'a pas eu ceste grace/ de
nõ uouloir iamais estre mauuais: * mais en	non vouloir jamais estre mauvais: * mais en
uerite il eut la grace/ en laq̃lle sil y eut uoulu	verite il eut la grace/ en laquelle s'il y eut voulu
tousiours demourer/ iamais ne eut este mau¬	tousjours demourer/ jamais ne eut este mau¬
uais: aussi sans laquelle grace ne pouoit estre	vais: aussi sans laquelle grace ne povoit estre
bon/ uoire aussy auec son franc arbitre. Par¬	bon/ voire aussy avec son franc arbitre. Par¬
quoy aussi Dieu ne la point uoulu laisser	quoy aussi Dieu ne l'a point voulu laisser
sans sa grace: combiẽ aussi quil lait laisse en	sans sa grace: combien aussi qu'il l'ait laisse en
son franc arbitre: pource que le franc arbitre	son franc arbitre: pour ce que le franc arbitre
est suffisant au mal: mais au bien cest peu de	est suffisant au mal: mais au bien c'est peu de
chose/ sil nest ayde du bien tout puissant: leq̃l	chose/ s'il n'est ayde du bien tout puissant: lequel
ayde/ si cest hõme ne leust laisse/ par son franc	ayde/ si cest homme ne l'eust laisse/ par son franc
arbitre/ il eut tousiours este bõ: mais il le de¬	arbitre/ il eut tousjours este bon: mais il le de¬
laissa/ parquoy aussi il fut delaisse. Et estoit	laissa/ parquoy aussi il fut delaisse. Et estoit
laide tel: qͥl le delaissoit quãt il uouloit/ ⁊ de¬	l'aide tel: qu'il le delaissoit quant il vouloit/ et de¬
mouroit en icelluy sil uouloit: non pas q̃ par	mouroit en icelluy s'il vouloit: non pas que par
cest aide luy fust dõnee la uolũte de demourer.	cest aide luy fust donnee la volunte de demourer.
Icelle est la premiere grace qui fut donnee au	Icelle est la premiere grace qui fut donnee au
premier Adã. Mais celle du second Adam/ fut	premier Adam. Mais celle du second Adam/ fut
plus puissante. Car la p̃miere est la grace par	plus puissante. Car la premiere est la grace par
laquelle fut dõne q̃ lhõme auroit la iustice sil	laquelle fut donne que l'homme auroit la justice s'il
uouloit. * Mais la seconde peult beaucoup	vouloit. * Mais la seconde peult beaucoup
plus: car aussi elle faict que lhomme ueult: ⁊ q̃	plus: car aussi elle faict que l'homme veult: et que
tellemẽt il ueult/ ⁊ ayme de si grande ardeur/	tellement il veult/ et ayme de si grande ardeur/
que aussi par la uolunte de lesprit/ il uainc¬	que aussi par la volunte de l'esprit/ il vainc¬
quist la uolupte de la chair qui conuoite au	quist la volupte de la chair qui convoite au
contraire. Et par ceste grace de dieu que nous	contraire. Et par ceste grace de dieu que nous
