¶ Chansons nouuelles	¶ Chansons nouvelles
demonstrantz plusieurs erreurs	demonstrantz plusieurs erreurs
et faulsetez: desquelles le	et faulsetez: desquelles le
paoure mõde est rẽply	pauvre monde est remply
par les ministres	par les ministres
de Satan.	de Satan.
Matth.xu.	Matth.xv.
¶ Les disciples dirẽt a Iesus.	¶ Les disciples dirent a Jesus.
Nas tu point cõgneu que les	N'as tu point congneu que les
Pharisiens ont este offensez	Pharisiens ont este offensez
oyantz ceste parolle?	oyantz ceste parolle?
Iesus leur respondit.	Jesus leur respondit.
Toute plantatiõ laq̃lle mon	Toute plantation laquelle mon
pere celeste naura point plã¬	pere celeste n'aura point plan¬
te/ sera arrachee. Laissez les	te/ sera arrachee. Laissez les
ilz sont aueugles/ et condu¬	ilz sont aveugles/ et condu¬
cteurs des aueugles ⁊c.	cteurs des aveugles etc.
¶ Chanson nouuelle de lorigine/	¶ Chanson nouvelle de l'origine/
autorite/ ⁊ puissance de leuãgile/	autorite/ et puissance de l'evangile/
contre tous ceulx qui le appellent	contre tous ceulx qui le appellent
nouuelle doctrine/ Sur le chant:	nouvelle doctrine/ Sur le chant:
Ie ne scay pas cõment.	Je ne scay pas comment.
I	J¬
E mesbahis cõment	E m'esbahis comment
Lhumain entendement/	L'humain entendement/
Remply doutrecuydance/	Remply d'outrecuydance/
Me faict tant de tourment:	Me faict tant de tourment:
Car par faulx iugement	Car par faulx jugement
Me poursuyt a outrance.	Me poursuyt a outrance.
¶ Tant de faulx seducteurs/	¶ Tant de faulx seducteurs/
Aueugles conducteurs/	Aveugles conducteurs/
Folz cuydantz estre sages/	Folz cuydantz estre sages/
Cõment maistres menteurs/	Comment maistres menteurs/
De sectes inuenteurs/	De sectes inventeurs/
Mont ferme les passages.	M'ont ferme les passages.
¶ Les auaricieux/	¶ Les avaricieux/
Felons/ contentieux/	Felons/ contentieux/
Tous farcis de fallace/	Tous farcis de fallace/
Me blasment en tous lieux/	Me blasment en tous lieux/
Nouueau seditieux	Nouveau seditieux
Me appellent en toute place.	Me appellent en toute place.
¶ Aussi nouuelle foy/	¶ Aussi nouvelle foy/
Faulse doctrine ⁊ loy/	Faulse doctrine et loy/
Ces aueugles me nomment/	Ces aveugles me nomment/
Tout mal disantz de moy/	Tout mal disantz de moy/
Monstrantz que ce grand roy/	Monstrantz que ce grand roy/
Ne sa grace ne estiment.	Ne sa grace ne estiment.
¶ Pourtant ie uous diray	¶ Pourtant je vous diray
Mon origine au uray/	Mon origine au vray/
Si me uoulez congnoistre/	Si me voulez congnoistre/
Ie uous demonstreray	Je vous demonstreray
Ma puissance: ⁊ feray	Ma puissance: et feray
Mon estat apparoistre.	Mon estat apparoistre.
¶ Ie suis du dieu uiuant	¶ Je suis du dieu vivant
Puissance a tout croyant/	Puissance a tout croyant/
Au uray salut ⁊ uie:	Au vray salut et vie:
Car tout homme suyuant	Car tout homme suyvant
Ma uoye ⁊ semployant	Ma voye et s'employant
Pour moy, Christ glorifie.	Pour moy, Christ glorifie.
¶ La condemnation	¶ La condemnation
Par la transgression	Par la transgression
Dadam/ estoit mortelle:	D'adam/ estoit mortelle:
Car sans remission	Car sans remission
Mort ⁊ damnation	Mort et damnation
Uous estoit eternelle.	Vous estoit eternelle.
¶ Mais par la grand bonte	¶ Mais par la grand bonte
De dieu/ ⁊ charite/	De dieu/ et charite/
Grace ⁊ paix uous fut faicte/	Grace et paix vous fut faicte/
De ce la uerite	De ce la verite
Nouuelle ⁊ grand seurte	Nouvelle et grand seurte
Ie suis pleine ⁊ parfaicte.	Je suis pleine et parfaicte.
¶ Dieu le pere puissant/	¶ Dieu le pere puissant/
A Adam languissant/	A Adam languissant/
