¶ Petit traicte tres	¶ Petit traicte tres
utile/ et salutaire de la	utile/ et salutaire de la
saincte eucharistie	saincte eucharistie
de nostre Sei¬	de nostre Sei¬
gneur Ie¬	gneur Je¬
suchrist.	suchrist.
Audiens sapiens/	Audiens sapiens/
sapientior	sapientior
erit.	erit.
Prouerb.i.	Proverb.i.
Aux beneuoles lecteurs: Salut.	Aux benevoles lecteurs: Salut.
Cest chose certaine et quasi a tous congneue/ que	C'est chose certaine et quasi a tous congneue/ que
quand affection meine ⁊ cõduict le iugement de lhõ¬	quand affection meine et conduict le jugement de l'hom¬
me: iceluy est en grãd peril. Pour auquel mal/ incõ	me: iceluy est en grand peril. Pour auquel mal/ incon¬
tinent obuier/ tant de droict diuin que humain/ est	tinent obvier/ tant de droict divin que humain/ est
ordonne toutes affectiõs ⁊ passiõs en cause de iuge-	ordonne toutes affections et passions en cause de juge-
mẽt/ estre reiectees ⁊ les occasiõs dicelles. De la uiẽt	ment/ estre rejectees et les occasions d'icelles. De la vient
que les droictz facilemẽt admettẽt recusation de iu¬	que les droictz facilement admettent recusation de ju¬
ges/ quand il y a suspicion de faueur. Car ainsi que	ges/ quand il y a suspicion de faveur. Car ainsi que
les nuees empeschent la claire uision de la pure lu¬	les nuees empeschent la claire vision de la pure lu¬
miere du soleil: ainsi fõt les affectiõs ⁊ passiõs len¬	miere du soleil: ainsi font les affections et passions l'en¬
tiere congnoissance de uerite. Parquoy mes tres¬	tiere congnoissance de verite. Parquoy mes tres
chers freres en Iesuchrist/ qui ce petit traicte lirez: ie	chers freres en Jesuchrist/ qui ce petit traicte lirez: je
uoꝰ supplie oster toute crainte humaine/ toute affe¬	vous supplie oster toute crainte humaine/ toute affe¬
ction charnelle/ ⁊ toute faueur de sãg. Ne uous ar¬	ction charnelle/ et toute faveur de sang. Ne vous ar¬
restez a la cõsideration du long tẽps/ ne a la multi¬	restez a la consideration du long temps/ ne a la multi¬
tude de ceulx qͥ autremẽt ont tenu/ ⁊ dogmatise. Car	tude de ceulx qui autrement ont tenu/ et dogmatise. Car
le Seigñr cõmande/ ⁊ le Iuriscõsulte ueult/ q̃ mul¬	le Seigneur commande/ et le Jurisconsulte veult/ que mul¬
titude ne soit oye cõtre uerite en iugement. Ne aussi	titude ne soit oye contre verite en jugement. Ne aussi
coustume qͥ est marastre de droict: laq̃lle quãd elle est	coustume qui est marastre de droict: laquelle quand elle est
cõtre bonnes meurs/ elle est corruptelle. Par plus	contre bonnes meurs/ elle est corruptelle. Par plus
forte raison/ quãd elle est aduersaire a la saincte pa¬	forte raison/ quand elle est adversaire a la saincte pa¬
rolle du Seigñr. Laquelle parolle nest par lõgueur	rolle du Seigneur. Laquelle parolle n'est par longueur
de tẽps enuieillie/ ou diminuee: mais eternellement	de temps envieillie/ ou diminuee: mais eternellement
dure/ ⁊ en eternite faict uiure ses amateurs. Si ainsi	dure/ et en eternite faict vivre ses amateurs. Si ainsi
faictes ie espere que entendrez clairement la pure/	faictes je espere que entendrez clairement la pure/
entiere/ et syncere uerite. Ce que le Seigneur uous	entiere/ et syncere verite. Ce que le Seigneur vous
uueille conceder. Amen.	vueille conceder. Amen.
T	T¬
Oute parolle et ordon¬	oute parolle et ordon¬
nance de Dieu/ doibt	nance de Dieu/ doibt
estre dicte ⁊ tenue sain¬	estre dicte et tenue sain¬
cte/ ⁊ nulle autre. Par¬	cte/ et nulle autre. Par¬
quoy ce que Iesuchrist	quoy ce que Jesuchrist
a parle/ enseigne/ ⁊ ordõne/ est sainct	a parle/ enseigne/ et ordonne/ est sainct
