¶ Les grans pardons	¶ Les grans pardons
⁊ indulgences/ le tresgrand Iubile de	et indulgences/ le tres grand Jubile de
plainiere remissiõ de peine ⁊ de coulpe	plainiere remission de peine et de coulpe
a tous les confraires de la tressacree	a tous les confraires de la tres sacree
cõfrairie du sainct esperit: que nostre	confrairie du sainct esperit: que nostre
sainct pere parauant auoit ꝓmis par	sainct pere paravant avoit promis par
ses sainctz prophetes, ⁊ ordonne ⁊ cõ¬	ses sainctz prophetes, et ordonne et con¬
ferme par nostre seigneur Iesuchrist	ferme par nostre seigneur Jesuchrist
son seul ⁊ tresayme filz/ ⁊ de rechief	son seul et tres ayme filz/ et de rechief
ueult quon publie ⁊ adnũce par	veult qu'on publie et adnunce par
tout le monde/ cõme il auoit	tout le monde/ comme il avoit
cõmande a ses apostres/	commande a ses apostres/
affin que tous soyẽt	affin que tous soyent
de la digne con¬	de la digne con¬
frairie.	frairie.
¶ Proest gheesten.	¶ Proest gheesten.
1.Ioan.4.	1.Joan.4.
¶ Nouuellemẽt imprime a Gand	¶ Nouvellement imprime a Gand
par Pieter uan winghue.	par Pieter van winghue.
N	N¬
Ostre sainct pere, lequel	Ostre sainct pere, lequel
seul on doibt nõmer pere	seul on doibt nommer pere
sainct de tous les fideles	sainct de tous les fideles
uray dieu eternel, faisãt	vray dieu eternel, faisant
tout ce quil ueult au ciel	tout ce qu'il veult au ciel
⁊ en la terre seul bõ ⁊ seul saige, plai¬	et en la terre seul bon et seul saige, plai¬
nement aduerty ⁊ informe par sa tres	nement adverty et informe par sa tres
grãde prouidence des biẽs qui de iour	grande providence des biens qui de jour
en iour se font en la saincte confrairie	en jour se font en la saincte confrairie
du sainct esperit, sans leq̃l persõne ne	du sainct esperit, sans lequel personne ne
luy peult plaire ny estre de Iesus son	luy peult plaire ny estre de Jesus son
filz. Et aussi cõment la conseruation	filz. Et aussi comment la conservation
de ceste tresdigne confrairie ⁊ laugmẽ	de ceste tres digne confrairie et l'augmen¬
tation ⁊ accroissemẽt dicelle est fort et	tation et accroissement d'icelle est fort et
tresgrandement necessaire a garder/	tres grandement necessaire a garder/
maintenir/ ⁊ entretenir la chrestiẽte ⁊	maintenir/ et entretenir la chrestiente et
poͬ la faire fleurir/ croistre/ ⁊ augmẽ¬	pour la faire fleurir/ croistre/ et augmen¬
ter: ⁊ aussi grãdemẽt sert a surmõter/	ter: et aussi grandement sert a surmonter/
uaincre/ ⁊ destruire tous infideles et	vaincre/ et destruire tous infideles et
ennemys de la foy de nostre seigneur	ennemys de la foy de nostre seigneur
Iesus, de son propre mouuemẽt non	Jesus, de son propre mouvement non
par le conseil ne requeste de personne/	par le conseil ne requeste de personne/
mais pour lamour de soymesmes a	mais pour l'amour de soymesmes a
uoulu ⁊ ordonne/ ⁊ par sa saincte pa¬	voulu et ordonne/ et par sa saincte pa¬
rolle ueult ⁊ ordonne ⁊ cõmande ex¬	rolle veult et ordonne et commande ex¬
pressement que ceste noble confrairie	pressement que ceste noble confrairie
soit adnuncee/ publiee/ ⁊ p̃schee a tou¬	soit adnuncee/ publiee/ et preschee a tou¬
tes gens/ natiõs/ langues de quelque	tes gens/ nations/ langues de quelque
estat/ sexe/ condition quilz soyent: en¬	estat/ sexe/ condition qu'ilz soyent: en¬
semble les grãdes graces/ priuileges/	semble les grandes graces/ privileges/
pardons/ ⁊ indulgẽces q̃ nostre sainct	pardons/ et indulgences que nostre sainct
pere ouurant tous les thresors de sa	pere ouvrant tous les thresors de sa
bonte infinie donne ⁊ octroye a perpe¬	bonte infinie donne et octroye a perpe¬
tuite a tous ceulx ⁊ celles qui serõt de	tuite a tous ceulx et celles qui seront de
ceste tresexcellente confrairie, cõman	ceste tres excellente confrairie, comman¬
dant a tous ⁊ toutes de quelque estat	dant a tous et toutes de quelque estat
⁊ conditiõ quilz soyẽt de ouyr ⁊ entẽ¬	et condition qu'ilz soyent de ouyr et enten¬
dre ces beaulx ⁊ grans pardons ⁊ les	dre ces beaulx et grans pardons et les
gaigner entrant en ceste confrairie: et	gaigner entrant en ceste confrairie: et
ce en uertu dobedience ⁊ sus la peine	ce en vertu d'obedience et sus la peine
de malediction ⁊ dãnation eternelle/	de malediction et damnation eternelle/
sans reseruer nully ap̃s la publicatiõ	sans reserver nully apres la publication
desdictz pardons/ cõmande quon les	desdictz pardons/ commande qu'on les
prẽgne ⁊ gaigne entrant ladicte con¬	prengne et gaigne entrant ladicte con¬
frairie estant des confraires dicelle.	frairie estant des confraires d'icelle.
Anathematizãt/ excõmuniãt/ ⁊ maul	Anathematizant/ excommuniant/ et maul¬
disant de malediction eternelle ledict	disant de malediction eternelle ledict
nr̃e sainct pere de sa grande puissance	nostre sainct pere de sa grande puissance
et autorite tous ceulx et celles qui de	et autorite tous ceulx et celles qui de
faict et de certaine science et malice et	faict et de certaine science et malice et
meschãcete empescheront cõment quil	meschancete empescheront comment qu'il
soit la publication ⁊ adnunciation de	soit la publication et adnunciation de
ces tresgrãs pardons/ ⁊ ceulx ⁊ celles	ces tres grans pardons/ et ceulx et celles
qͥ ont desir de les prendre ⁊ soy mettre	qui ont desir de les prendre et soy mettre
en ceste diuine cõfrairie, tous qui don	en ceste divine confrairie, tous qui don¬
nent empeschement par eulx ou par	nent empeschement par eulx ou par
aultres. Semblablemẽt tous mur¬	aultres. Semblablement tous mur¬
murateurs/ blasphemateurs/ ⁊ mesdi	murateurs/ blasphemateurs/ et mesdi¬
sans, qui directement ou indirectemẽt	sans, qui directement ou indirectement
par eulx ou par aultres uiẽnent con¬	par eulx ou par aultres viennent con¬
tredire au sainct esperit ⁊ mespriser sa	tredire au sainct esperit et mespriser sa
saincte cõfrairie sont anathematisez/	saincte confrairie sont anathematisez/
excommuniez/ et mauldictz de male¬	excommuniez/ et mauldictz de male¬
dictiõ eternelle. Uoulant neãtmoins	diction eternelle. Voulant neantmoins
nostredict sainct pere que les poures	nostredict sainct pere que les poures
ignorãs qui nõt aucune cognoissance	ignorans qui n'ont aucune cognoissance
de la presente confrairie soyẽt admo¬	de la presente confrairie soyent admo¬
nestez amyablemẽt en toute charite, ⁊	nestez amyablement en toute charite, et
quon leur monstre ⁊ dõne a entendre	qu'on leur monstre et donne a entendre
benignement ⁊ clairement les grans	benignement et clairement les grans
