¶ Moralite de la mala¬	¶ Moralite de la mala¬
die de Chrestiẽte/ a .viii. personnages:	die de Chrestiente/ a .viii. personnages:
en laquelle sõt mõstrez plusieurs abuz/	en laquelle sont monstrez plusieurs abuz/
aduenuz au monde/ par la poison de pe¬	advenuz au monde/ par la poison de pe¬
che ⁊ lhypocrisie des hereticques.	che et l'hypocrisie des hereticques.
Foy.	Foy.
Le medecin celeste.	Le medecin celeste.
Esperance.	Esperance.
Inspiration.	Inspiration.
Charite.	Charite.
Laueugle	L'aveugle
Chrestiente.	Chrestiente.
Son uarlet.	Son varlet.
Bon oeuure.	Bon oeuvre.
Lapoticaire.	L'apoticaire.
Hypocrisie.	Hypocrisie.
Le docteur.	Le docteur.
Peche.	Peche.
Ceste moralite reprend	Ceste moralite reprend
Les abuz de Chrestiente/	Les abuz de Chrestiente/
Celuy qui est en Christ ente	Celuy qui est en Christ ente
Jamais a la mort ne mesprend.	Jamais a la mort ne mesprend.
Y ME VINT	Y ME VINT
MAL A	MAL A
GRE.	GRE.
¶ Les noms ⁊ accoustremẽs des	¶ Les noms et accoustremens des
personnaiges de ceste pre¬	personnaiges de ceste pre¬
sente moralite.	sente moralite.
Foy uestue dune belle robbe blanche/	Foy vestue d'une belle robbe blanche/
Esperance/ uestue dune robbe de uiolet/	Esperance/ vestue d'une robbe de violet/
Charite/ uestue descarlate/	Charite/ vestue d'escarlate/
Bon oeuure/ uestu en marchant honneste/	Bon oeuvre/ vestu en marchant honneste/
Chrestiente/ en honneste dame/	Chrestiente/ en honneste dame/
Laueugle/ en son paoure estat/	L'aveugle/ en son paovre estat/
Et le uarlet/ pareillement.	Et le varlet/ pareillement.
Hypocrisie/ uestue en nonnain/	Hypocrisie/ vestue en nonnain/
Peche/ par deuãt uestu de robbe mõdaine/	Peche/ par devant vestu de robbe mondaine/
⁊ derriere en habit de diable/	et derriere en habit de diable/
Le medecin/ en habit propre/	Le medecin/ en habit propre/
Inspiration/ en habit angelique/	Inspiration/ en habit angelique/
Le docteur/ en son estat/	Le docteur/ en son estat/
Lapoticaire/ en son estat.	L'apoticaire/ en son estat.
¶ Le docteur commence.	¶ Le docteur commence.
C	C¬
E ieu moral/ les troys uertus cõtiẽt/	E jeu moral/ les troys vertus contient/
Cestascauoir la foy/ qui tout soustient	C'est ascavoir la foy/ qui tout soustient
Auec laquelle/ est conioincte esperance	Avec laquelle/ est conjoincte esperance
Et charite: qui de la foy prouient	Et charite: qui de la foy provient
Chrestiente, par elles se entretient	Chrestiente, par elles se entretient
Faisãt tousioͬs bõ oeuure/ ⁊ ne espere en ce	Faisant tousjours bon oeuvre/ et ne espere en ce
Qui croyt en dieu/ en nul tẽps na souffrãce	Qui croyt en dieu/ en nul temps n'a souffrance
De bien qui soit/ car qui a dieu a tout:	De bien qui soit/ car qui a dieu a tout:
Celuy a dieu/ qui a en luy fiance	Celuy a dieu/ qui a en luy fiance
Prenant en luy tout seul saueur ⁊ goust.	Prenant en luy tout seul saveur et goust.
Peuple auditeur/ de la moralite:	Peuple auditeur/ de la moralite:
A bien faire/ par elle es incite	A bien faire/ par elle es incite
Et aduise/ de delaisser tout uice	Et advise/ de delaisser tout vice
Et tout orgueil/ ⁊ toute iniquite/	Et tout orgueil/ et toute iniquite/
Toute luxure/ ⁊ immundicite/	Toute luxure/ et immundicite/
Faulx tesmoignage/ aussi toute iniustice/	Faulx tesmoignage/ aussi toute injustice/
Ire/ ⁊ enuie/ paresse/ ⁊ auarice/	Ire/ et envie/ paresse/ et avarice/
Et tous pechez de par dieu deffendus/	Et tous pechez de par dieu deffendus/
Qui croit cela/ aura grace propice	Qui croit cela/ aura grace propice
Par foy/ a christ ayons les coeurs pendus.	Par foy/ a christ ayons les coeurs pendus.
Hipocrisie/ qui uoit en temps trãsquille/	Hipocrisie/ qui voit en temps transquille/
Chrestiente uiure par leuangile/	Chrestiente vivre par l'evangile/
Suyuant la foy/ espoir/ ⁊ charite	Suyvant la foy/ espoir/ et charite
Par heresie/ ⁊ par raison subtile	Par heresie/ et par raison subtile
La uient tirer hors de lesprit utile/	La vient tirer hors de l'esprit utile/
Et si la faict suyuir charnalite:	Et si la faict suyvir charnalite:
Luy promettant dauoir prosperite	Luy promettant d'avoir prosperite
Mais en la fin elle en aura la mort/	Mais en la fin elle en aura la mort/
Certes il est predit ⁊ decrete	Certes il est predit et decrete
Que qui faict mal/ mal luy aduiẽt en sort	Que qui faict mal/ mal luy advient en sort
Qui a peche/ il doibt auoir recours	Qui a peche/ il doibt avoir recours
A Iesus Christ/ qui est nostre secours	A Jesus Christ/ qui est nostre secours
Nostre aduocat, ⁊ nostre medecin	Nostre advocat, et nostre medecin
Luy seul guarist/ les aueugles ⁊ sourdz	Luy seul guarist/ les aveugles et sourdz
Aller ne fault/ aux hõmes na leurs cours:	Aller ne fault/ aux hommes n'a leurs cours:
Car qui si fie/ il sera en la fin	Car qui s'i fie/ il sera en la fin
Maudict de dieu/ mourant en son uenin:	Maudict de dieu/ mourant en son venin:
Sil nest purge des humeurs hereticques/	S'il n'est purge des humeurs hereticques/
Par Iesus Christ/ nostre sauueur diuin	Par Jesus Christ/ nostre sauveur divin
Car nous sõmes/ sans luy pires q̃ eticques.	Car nous sommes/ sans luy pires que eticques.
¶ Nota que la foy doibt preceder/ ⁊ Chre¬	¶ Nota que la foy doibt preceder/ et Chre¬
stiente uenir apres accõpaignee de Espe¬	stiente venir apres accompaignee de Espe¬
rance ⁊ de Charite/ puis Bon oeuure.	rance et de Charite/ puis Bon oeuvre.
La foy primo.	La foy primo.
Par grace en foy/ sans oeuures iudaiques:	Par grace en foy/ sans oeuvres judaiques:
Christ a uoulu/ par dictz apostoliques	Christ a voulu/ par dictz apostoliques
De ses esleuz monstrer le salut prendre:	De ses esleuz monstrer le salut prendre:
Si quon ne doibt/ en soymesme comprẽdre	Si qu'on ne doibt/ en soymesme comprendre
Que par ses faictzon soit ioinct aux reliq̃s.	Que par ses faictzon soit joinct aux reliques.
Pharisiens operateurs iniques:	Pharisiens operateurs iniques:
Par argumens/ ⁊ raisons sophistiques	Par argumens/ et raisons sophistiques
Nont poĩt cõgneu/ cõe on doit au ciel tẽdre	N'ont point congneu/ come on doit au ciel tendre
Par grace en foy/ sans oeuures iudaiques.	Par grace en foy/ sans oeuvres judaiques.
Or delaissez leurs sentences obliques	Or delaissez leurs sentences obliques
Subtilitez/ ⁊ songes phantastiques/	Subtilitez/ et songes phantastiques/
Uous appliquãs/ au diuin uerbe entendre	Vous appliquans/ au divin verbe entendre
Sãs doubte auoir/ dengin soit dur ou tẽdre	Sans doubte avoir/ d'engin soit dur ou tendre
Que Christ uoꝰ ueult faire enfans deifiq̃s	Que Christ vous veult faire enfans deifiques
Par grace en foy/ sans oeuures iudaiques/	Par grace en foy/ sans oeuvres judaiques/
En son escolle/	En son escolle/
Sainct Paul recolle	Sainct Paul recolle
Que cest de foy:	Que c'est de foy:
Or ty consolle.	Or t'y consolle.
Tu seroys folle/	Tu seroys folle/
Si par la loy/	Si par la loy/
De pape ou roy/	De pape ou roy/
Uouloys sans moy/	Vouloys sans moy/
Monter a la saincte carolle	Monter a la saincte carolle
Des bienheurez en bel arroy/	Des bienheurez en bel arroy/
Chrestiente aura requoy/	Chrestiente aura requoy/
Par seulle foy sans monopole/	Par seulle foy sans monopole/
Qui ha la foy/ il est le filz de dieu	Qui ha la foy/ il est le filz de dieu
Et a pouoir/ dit S. Matthieu:	Et a povoir/ dit Saint Matthieu:
Dessus la puissance infernalle/	Dessus la puissance infernalle/
Qui a la foy/ il uaincq le diable/	Qui a la foy/ il vaincq le diable/
Par foy on est iustifie/	Par foy on est justifie/
Et de salut certifie:	Et de salut certifie:
Par foy on faict les grandz miracles:	Par foy on faict les grandz miracles:
En Iherico les propugnacles/	En Jherico les propugnacles/
Sont atterrez/ ⁊ confondus.	Sont atterrez/ et confondus.
Ces motz notez ⁊ entendus/	Ces motz notez et entendus/
On doit par la foy en dieu croire.	On doit par la foy en dieu croire.
Esperance primo.	Esperance primo.
Dame affin quil te soit notoire	Dame affin qu'il te soit notoire
Ie suis une attente certaine/	Je suis une attente certaine/
De paruenir au hault domaine/	De parvenir au hault domaine/
De Iesus Christ: par ses merites/	De Jesus Christ: par ses merites/
Car par moy les cieulx tu herites/	Car par moy les cieulx tu herites/
Et es receue auec lespoux/	Et es receue avec l'espoux/
Non pour auoir tue les poux/	Non pour avoir tue les poux/
Ains par auoir seulle esperance/	Ains par avoir seulle esperance/
En ung seul dieu/ qui par clemẽce:	En ung seul dieu/ qui par clemence:
Sauue les filz delection.	Sauve les filz d'election.
Charite primo.	Charite primo.
De charite Paul ad Timotheum	De charite Paul ad Timotheum
Uous a descrit la diffinition	Vous a descrit la diffinition
Elle est (dit il) fin du commandement	Elle est (dit il) fin du commandement
Dun coeur tout pur/ sans uiure feintemẽt	D'un coeur tout pur/ sans vivre feintement
Ayant la foy/ pour sa fondation.	Ayant la foy/ pour sa fondation.
Auoir en dieu ferme dilection/	Avoir en dieu ferme dilection/
Et au prochain/ sans faire election	Et au prochain/ sans faire election
Cela prouient en uous ceriainement/	Cela provient en vous ceriainement/
De Charite.	De Charite.
Charite est la consummation	Charite est la consummation
Des bõnes loix/ ⁊ droicte intẽtion:	Des bonnnes loix/ et droicte intention:
Car tu ne dois poĩt faire aucunemẽt	Car tu ne dois point faire aucunement
A ton prochain/ cela que nullement	A ton prochain/ cela que nullement
Tu ne uoudrois/ nest ce pas la raison	Tu ne voudrois/ n'est ce pas la raison
De charite/ ⁊ sa description?	De charite/ et sa description?
Charite donne/	Charite donne/
Et si pardonne	Et si pardonne
Parfaictement:	Parfaictement:
En dieu ordonne/	En dieu ordonne/
La chose bonne/	La chose bonne/
Non pour payement:	Non pour payement:
Mais simplement/	Mais simplement/
Et purement/	Et purement/
Le sien aux paoures abandonne:	Le sien aux paovres abandonne:
En leur en donnant largement/	En leur en donnant largement/
Sans distinguer lhabillement	Sans distinguer l'habillement
Charite a tout bien consonne.	Charite a tout bien consonne.
Bon oeuure primo.	Bon oeuvre primo.
On ne cõgnoist a la robbe persõne/	On ne congnoist a la robbe personne/
Pourtant/ ie ueulx dire ma qualite	Pourtant/ je veulx dire ma qualite
Escoutez moy/ ⁊ q̃ mot on ne sõne:	Escoutez moy/ et que mot on ne sonne:
Bon oeuure suis ensuyuãt charite/	Bon oeuvre suis ensuyvant charite/
Pour bien faire/ ie nay lieu limite	Pour bien faire/ je n'ay lieu limite
Ne tẽps/ ne habitz/ ne estat/ uin/ ne uiãdes	Ne temps/ ne habitz/ ne estat/ vin/ ne viandes
La foy me faict seruir en uerite	La foy me faict servir en verite
Et en moymesme/ elle faict choses grãdes:	Et en moymesme/ elle faict choses grandes:
Sobriete destruict langues friandes/	Sobriete destruict langues friandes/
Humilite les orgueilleux habitz/	Humilite les orgueilleux habitz/
Et continence/ abolist les galandes/	Et continence/ abolist les galandes/
Et les galans/ qui font des gros rabis.	Et les galans/ qui font des gros rabis.
Chrestiente.	Chrestiente.
Moderateur de paradis	Moderateur de paradis
Grace uous rendz des nobles dames/	Grace vous rendz des nobles dames/
Que uous auez icy transmis	Que vous avez icy transmis
Pour me regir sans nulz diffames/	Pour me regir sans nulz diffames/
La foy heretiques infames	La foy heretiques infames
Destruict/ par la uertu diuine.	Destruict/ par la vertu divine.
La foy monstre les grandz blasphemes/	La foy monstre les grandz blasphemes/
Et les reprent par sa doctrine/	Et les reprent par sa doctrine/
La foy nous faict ung dieu congnoistre/	La foy nous faict ung dieu congnoistre/
Et esperance/ en luy fier.	Et esperance/ en luy fier.
Charite nous faict apparoistre/	Charite nous faict apparoistre/
Comment on le doibt seul aymer/	Comment on le doibt seul aymer/
Allons ceans nous reposer	Allons ceans nous reposer
En regardant dedans ung liure.	En regardant dedans ung livre.
Docteur/ uueillez nous exposer	Docteur/ vueillez nous exposer
Quelque bon mot se estes deliure.	Quelque bon mot se estes delivre.
¶ Icy entre en une tente/ ⁊ le docteur	¶ Icy entre en une tente/ et le docteur
parle/ et dit.	parle/ et dit.
Le docteur.	Le docteur.
Soyez prudens ueillans en oraison	Soyez prudens veillans en oraison
Et enuers tous obseruez charite:	Et envers tous observez charite:
Car charite/ coeuure de sa toyson	Car charite/ coeuvre de sa toyson
Le grand nõbre/ de nostre iniquite	Le grand nombre/ de nostre iniquite
Quand uous uerrez/ le tẽps de aduersite/	Quand vous verrez/ le temps de adversite/
Hospitalliers soyez a uoz prochains/	Hospitalliers soyez a voz prochains/
Nourrissez ceulx de famine prochains/	Nourrissez ceulx de famine prochains/
Administrans uostre bien transitoire:	Administrans vostre bien transitoire:
Faictes hõneur aux seigneͬs souuerains/	Faictes honneur aux seigneurs souverains/
Et si donnez a dieu lhonneur ⁊ gloire.	Et si donnez a dieu l'honneur et gloire.
Seruez a luy seul/ en toute saison/	Servez a luy seul/ en toute saison/
A ce faire/ nul iour n est limite	A ce faire/ nul jour n'est limite
Nulles places/ aux champs/ a la maison/	Nulles places/ aux champs/ a la maison/
Uostre oraison soit faicte en uerite/	Vostre oraison soit faicte en verite/
Desprit/ de coeur/ ⁊ de fidelite/	D'esprit/ de coeur/ et de fidelite/
Et par espoir: estans du tout certains	Et par espoir: estans du tout certains
Que dieu noꝰ ueult dõner ses biẽshaultaĩs	Que dieu nous veult donner ses bienshaultains
Meilleurs q̃  nest nostre oeuure meritoire/	Meilleurs que  n'est nostre oeuvre meritoire/
Faictes doncques cõme firent les sainctz:	Faictes doncques comme firent les sainctz:
Et si donnez a dieu lhonneur ⁊ gloire.	Et si donnez a dieu l'honneur et gloire.
En oraison/ ostez le long blason:	En oraison/ ostez le long blason:
Leuans uoz mains en toute purite	Levans voz mains en toute purite
A ung seul dieu/ plus sans comparaison	A ung seul dieu/ plus sans comparaison
Doulx ⁊ bening/ que uostre infirmite	Doulx et bening/ que vostre infirmite
Ne peult penser: car par benignite	Ne peult penser: car par benignite
Il abolist les pechez des humains/	Il abolist les pechez des humains/
Croyans en luy/ laissans faictz inhumains	Croyans en luy/ laissans faictz inhumains
Il ne quiert rien de uostre territoire	Il ne quiert rien de vostre territoire
Tant seullement/ laissez desirs mondains	Tant seullement/ laissez desirs mondains
Et si donnez a dieu lhonneur ⁊ gloire.	Et si donnez a dieu l'honneur et gloire.
Chrestiente/ purgez uoz cas uillains	Chrestiente/ purgez voz cas villains
Par foy en Christ: apres ce purgatoire	Par foy en Christ: apres ce purgatoire
Amendez uous/ de tous pechez forains	Amendez vous/ de tous pechez forains
Et si donnez a dieu lhonneur ⁊ gloire.	Et si donnez a dieu l'honneur et gloire.
Gardez bien tout le decalogue/	Gardez bien tout le decalogue/
Qui ne contient que ung monologue	Qui ne contient que ung monologue
Cest daymer dieu plus que soymesme/	C'est d'aymer dieu plus que soymesme/
Et se garder quon ne desrogue/	Et se garder qu'on ne desrogue/
A son uouloir: pour tout prologue	A son vouloir: pour tout prologue
Tu aymeras en dieu/ ton proesme	Tu aymeras en dieu/ ton proesme
Luy donnant pasture/	Luy donnant pasture/
De saincte escripture:	De saincte escripture:
Qui nen aura cure/	Qui n'en aura cure/
Par S. Paul ie uous en asseure/	Par Saint Paul je vous en asseure/
Qui uault pis que payen.	Qui vault pis que payen.
Tu es la facture/	Tu es la facture/
Et la creature/	Et la creature/
Prompte a pourriture/	Prompte a pourriture/
Par peche ne te desnature	Par peche ne te desnature
Et tu auras tout bien.	Et tu auras tout bien.
Tu ne doibtz nul autre adorer:	Tu ne doibtz nul autre adorer:
Fors q̃ ung seul dieu/ ⁊ lhõnorer	Fors que ung seul dieu/ et l'honnorer
Cela il ueult auoir de toy/	Cela il veult avoir de toy/
Il te fault six iours labourer/	Il te fault six jours labourer/
