¶ Sensuyuẽt plusieurs	¶ S'ensuyvent plusieurs
belles ⁊ bonnes chansons/ que les	belles et bonnes chansons/ que les
chrestiens peuuent chanter en grãde	chrestiens peuvent chanter en grande
affectiõ de cueur: pour ⁊ affin de sou¬	affection de cueur: pour et affin de sou¬
lager leurs esperitz ⁊ de leur donner	lager leurs esperitz et de leur donner
repos en dieu/ au nom duquel	repos en dieu/ au nom duquel
elles sont composees par	elles sont composees par
rithmes/ au plus pres	rithmes/ au plus pres
de lesperit de Iesus	de l'esperit de Jesus
Christ/ cõtenu	Christ/ contenu
es sainctes	les sainctes
escriptu¬	escriptu¬
res.	res.
Chantez nouueau canticque a dieu:	Chantez nouveau canticque a dieu:
En toute place/ ⁊ en tout lieu.	En toute place/ et en tout lieu.
1.Paralipo.16. ⁊ Psal.96.	1.Paralipo.16. et Psal.96.
¶ Aux lecteurs	¶ Aux lecteurs
chrestiens.	chrestiens.
¶ Mes bons freres qui bien chantez	¶ Mes bons freres qui bien chantez
Auec accordz de chanterie	Avec accordz de chanterie
Lisez moy: ⁊ faictes chantz telz	Lisez moy: et faictes chantz telz
Ie croy: que icy enchanterie	Je croy: que icy enchanterie
Ny ha: pourtant le chantre rie	N'y ha: pourtant le chantre rie
Grace attendant/ du grand chanteur	Grace attendant/ du grand chanteur
Rien nest: qui le bon chant ne trie	Rien n'est: qui le bon chant ne trie
Eslisez donc/ ⁊ chantez heur	Eslisez donc/ et chantez heur
En bien entendant la teneur	En bien entendant la teneur
Regle ⁊ canon/ des sainctz escriptz	Regle et canon/ des sainctz escriptz
Gardez den perdre la saueur:	Gardez d'en perdre la saveur:
Ne uous fiez en uoz escryz	Ne vous fiez en voz escryz
Iesus noyt point uoz uoix ⁊ cryz	Jesus noyt point voz voix et cryz
Le cueur faict tout: rien le blason	Le cueur faict tout: rien le blason
A uous freres/ cecy iescris	A vous freres/ cecy j'escris
Mettez en uoz cueurs ma raison.	Mettez en voz cueurs ma raison.
Y ME VINT	Y ME VINT
MAL/ A GRE	MAL/ A GRE
1533	1533
¶ Chãson des dix cõmãdemẽtz de dieu	¶ Chanson des dix commandementz de dieu
Sur le chant Au boys de dueil.	Sur le chant Au boys de dueil.
¶ Le p̃mier cõmandemẽt.	¶ Le premier commandement.
A	A¬
dore ung dieu/ le pere tout puissãt	dore ung dieu/ le pere tout puissant
Par Iesꝰ christ/ tõ aduocat fidele	Par Jesus christ/ ton advocat fidele
Le sainct esprit/ te faict estre adorant	Le sainct esprit/ te faict estre adorant
En uerite/ sans nulle oeuure charnelle	En verite/ sans nulle oeuvre charnelle
De tout tõ cueͬ/ sur toꝰ le doibs aimer:	De tout ton cueur/ sur tous le doibs aimer:
Et a luy seul/ gloire ⁊ hõneur dõner:	Et a luy seul/ gloire et honneur donner:
Non a lydole/	Non a l'ydole/
Que ta main dole/	Que ta main dole/
Uaine ⁊ friuole/	Vaine et frivole/
Car il nest rien: mais dieu est tout/	Car il n'est rien: mais dieu est tout/
Qui te consolle/	Qui te consolle/
Par sa parolle/	Par sa parolle/
Ton ame est folle/	Ton ame est folle/
Se elle ny prend/ saueur ⁊ goust.	Se elle n'y prend/ saveur et goust.
¶ Le second cõmandement.	¶ Le second commandement.
¶ Le nom de dieu en uain ne iureras	¶ Le nom de dieu en vain ne jureras
Par ouy ou non/ finiras ton language	Par ouy ou non/ finiras ton language
Et uerite/ pour ton prochain diras	Et verite/ pour ton prochain diras
Pour le garder/ dauoir aucun dõmage	Pour le garder/ d'avoir aucun dommage
Ne iure aussi/ terre/ ne ciel ne sainctz	Ne jure aussi/ terre/ ne ciel ne sainctz
Ne ꝑ ta foy: mais tes dictz serõt sains	Ne par ta foy: mais tes dictz seront sains
Et ueritables/	Et veritables/
Et prouffitables/	Et prouffitables/
Sans nommer diables/	Sans nommer diables/
Ne iurer chose/ aucunement/	Ne jurer chose/ aucunement/
Iureurs damnables/	Jureurs damnables/
Gens execrables/	Gens execrables/
Et miserables/	Et miserables/
Dictes uerite simplement.	Dictes verite simplement.
¶ Le .iii. cõmandement.	¶ Le .iii. commandement.
