¶ Les faictz de Iesus Christ ⁊ du Pape/ par lesquelz	¶ Les faictz de Jesus Christ et du Pape/ par lesquelz
chascun pourra facilement congnoistre la grãde difference de entre eulx: nouuel¬	chascun pourra facilement congnoistre la grande difference de entre eulx: nouvel¬
lemẽt reueuz/ corrigez/ ⁊ augmentez/ selon la uerite de la saincte Escripture/ ⁊ des	lement reveuz/ corrigez/ et augmentez/ selon la verite de la saincte Escripture/ et des
droictz canons/ par le lecteur du sainct Palais.	droictz canons/ par le lecteur du sainct Palais.
¶ Eusebius ad Lectorem in Antithesin Christi ⁊ Antichristi.	¶ Eusebius ad Lectorem in Antithesin Christi et Antichristi.
Quam male conueniant cum Christi pectore Iesu.	Quam male conveniant cum Christi pectore Jesu.
Pontificum mores: iste libellus habet.	Pontificum mores: iste libellus habet.
Hec lege: qui uere pietatis amore teneris.	Hec lege: qui vere pietatis amore teneris.
Hoc pius/ ⁊ lecto codice doctus eris.	Hoc pius/ et lecto codice doctus eris.
¶ Au lecteur Chrestien.	¶ Au lecteur Chrestien.
Lecteur tu uois/ les faictz de Iesus Christ	Lecteur tu vois/ les faictz de Jesus Christ
En ce liuret/ aussi les meurs du pape	En ce livret/ aussi les meurs du pape
Christ donne tout/ pour neant: par son Esprit/	Christ donne tout/ pour neant: par son Esprit/
Le Pape non: mais tout bien prent ⁊ happe.	Le Pape non: mais tout bien prent et happe.
Cum	Cum
priui	privi¬
legio	legio
Apo¬	Apo¬
stoli¬	stoli¬
co.	co.
¶ A tous ceulx qui liront Grace/ paix/ ⁊ salut de Dieu nostre pere par no¬	¶ A tous ceulx qui liront Grace/ paix/ et salut de Dieu nostre pere par no¬
stre Seigneur Iesus son vray filz/ qui soit habitãt au coeur dung chascun/	stre Seigneur Jesus son vray filz/ qui soit habitant au coeur d'ung chascun/
par le S. Esperit.	par le Sainct Esperit.
L	L¬
E grand soleil de iustice nostre Sauueur ⁊ redempteur Iesus/ est si tres¬	E grand soleil de justice nostre Sauveur et redempteur Jesus/ est si tres
clair ⁊ si resplendissant quil ny a si aueugle/ quil ne uoye bien la grosse	clair et si resplendissant qu'il n'y a si aveugle/ qu'il ne voye bien la grosse
differẽce entre la clarte du Sauueur/ ⁊ les grosses tenebres du Pape/ en¬	difference entre la clarte du Sauveur/ et les grosses tenebres du Pape/ en¬
tre les Apostres ⁊ disciples de Iesus/ ⁊ les prestres/ moynes/ ⁊ tous aul¬	tre les Apostres et disciples de Jesus/ et les prestres/ moynes/ et tous aul¬
tres de lestat papisticque. Tellement quon tiendroit a bon droict celuy	tres de l'estat papisticque. Tellement qu'on tiendroit a bon droict celuy
sot ⁊ fort despourueu de sens/ qui se trauailleroit/ de mõstrer que Iesus ⁊ les siens/ nont	sot et fort despourveu de sens/ qui se travailleroit/ de monstrer que Jesus et les siens/ n'ont
point faict comme le Pape ⁊ les siens. Neantmoins la charite de nostre Seigneur con¬	point faict comme le Pape et les siens. Neantmoins la charite de nostre Seigneur con¬
trainct de comparer Iesus auec le Pape: non point pour affection mauuaise/ ou par ire/	trainct de comparer Jesus avec le Pape: non point pour affection mauvaise/ ou par ire/
maleuolence ne mal talent: comme nostre Seigneur scait ⁊ cõgnoist/ lequel par sa gran¬	malevolence ne mal talent: comme nostre Seigneur scait et congnoist/ lequel par sa gran¬
de misericorde uueille tous illuminer/ tant le Pape que tous Euesques/ prestres/ moy¬	de misericorde vueille tous illuminer/ tant le Pape que tous Evesques/ prestres/ moy¬
nes/ ⁊ tous ceulx qui tiennent de leur part: affin que ilz croyent ⁊ suyuent la parolle de	nes/ et tous ceulx qui tiennent de leur part: affin que ilz croyent et suyvent la parolle de
Dieu/ estans sains en foy ⁊ uiuans tous purement. Car ne desirons que le salut dung	Dieu/ estans sains en foy et vivans tous purement. Car ne desirons que le salut d'ung
chascun: ⁊ que tous uiennent a la congnoissance de uerite/ priant tous qui ce liure lirõt/	chascun: et que tous viennent a la congnoissance de verite/ priant tous qui ce livre liront/
quilz prient nostre Seigneur pour tous de coeur ⁊ daffection. Il est tout certain que tout	qu'ilz prient nostre Seigneur pour tous de coeur et d'affection. Il est tout certain que tout
le monde crie contre le Pape ⁊ son esglise/ a cause des paouretez ⁊ ordures qui y sont: ⁊ ny	le monde crie contre le Pape et son esglise/ a cause des paovretez et ordures qui y sont: et n'y
a personne qui ne blasme ⁊ condemne ce paoure ⁊ mauldit estat ou ouuertement de bou¬	a personne qui ne blasme et condemne ce paovre et mauldit estat ou ouvertement de bou¬
che/ ou secretement en son coeur/ ⁊ mesme le Pape ⁊ les siens se congnoissent telz/ quilz	che/ ou secretement en son coeur/ et mesme le Pape et les siens se congnoissent telz/ qu'ilz
ont honte deulx mesmes/ ne cerchant que se cacher/ ⁊ aucunement soy entretenir/ par le	ont honte d'eulx mesmes/ ne cerchant que se cacher/ et aucunement soy entretenir/ par le
moyen des princes ⁊ des officiers/ qui ont puissance sur les corps/ tachans de destruire	moyen des princes et des officiers/ qui ont puissance sur les corps/ tachans de destruire
ceulx qui monstrent leur estat/ ⁊ a ce par tous moyens quil est possible de penser trauail¬	ceulx qui monstrent leur estat/ et a ce par tous moyens qu'il est possible de penser travail¬
lent par legatz/ messagiers/ dons/ promesses/ ⁊ aultres uoyes. Mais par cecy nest con¬	lent par legatz/ messagiers/ dons/ promesses/ et aultres voyes. Mais par cecy n'est con¬
gneue la racine du mal: pourtant quon ne regarde que la uie du Pape ⁊ des siens: car la	gneue la racine du mal: pourtant qu'on ne regarde que la vie du Pape et des siens: car la
plus part des hommes pensent que si le Pape ⁊ les siens uiuoyent selon leur estat/ selon	plus part des hommes pensent que si le Pape et les siens vivoyent selon leur estat/ selon
leurs rigles ⁊ decretz quilz seroyent gens de bien: ⁊ sont en cecy grandement abusez. Car	leurs rigles et decretz qu'ilz seroyent gens de bien: et sont en cecy grandement abusez. Car
nonobstant que la uie ⁊ le train du Pape soit trespaoure ⁊ fort meschant/ beaucoup plus	nonobstant que la vie et le train du Pape soit tres paovre et fort meschant/ beaucoup plus
est sa doctrine et ses ordonnances paoure/ meschante/ horrible/ damnable/ ⁊ detestable.	est sa doctrine et ses ordonnances paovre/ meschante/ horrible/ damnable/ et detestable.
Affin donc quon congnoisse lestat du Pape en soy quel il est/ quelles sont ses ordonnan¬	Affin donc qu'on congnoisse l'estat du Pape en soy quel il est/ quelles sont ses ordonnan¬
ces/ sans faire mention des uies des Papes/ comme des fardemens/ enchanterie/ ⁊ tou¬	ces/ sans faire mention des vies des Papes/ comme des fardemens/ enchanterie/ et tou¬
te puantise de Pape Paul/ ne de Alexandre/ qui entre aultres cas enormes couchoit	te puantise de Pape Paul/ ne de Alexandre/ qui entre aultres cas enormes couchoit
auec sa fille propre Lucresse: de laquelle auoit la compaignie son frere le Duc de Ualen¬	avec sa fille propre Lucresse: de laquelle avoit la compaignie son frere le Duc de Valen¬
tinoys filz dudict Alexandre/ pourquoy Lepitaphe de celle Lucresse contenoit quelle	tinoys filz dudict Alexandre/ pourquoy L'epitaphe de celle Lucresse contenoit qu'elle
estoit fille/ femme/ ⁊ belle fille de Alexandre. Des meurtres et horribles effusions	estoit fille/ femme/ et belle fille de Alexandre. Des meurtres et horribles effusions
de sang de Iulle/ auec son yurongnerie et execrable paillardise/ ne de la gourmandi¬	de sang de Julle/ avec son yvrongnerie et execrable paillardise/ ne de la gourmandi¬
se et uie detestable de Leon/ ne des enchanteries/ empoisonnemens trahisons parri¬	se et vie detestable de Leon/ ne des enchanteries/ empoisonnemens trahisons parri¬
cides/ et aultres choses plus que diabolicques de Clement ne faisons mention.	cides/ et aultres choses plus que diabolicques de Clement ne faisons mention.
Mais mettrons Iesus dung coste uray Filz de Dieu/ chief et Sauueur unicque de	Mais mettrons Jesus d'ung coste vray Filz de Dieu/ chief et Sauveur unicque de
la saincte eglise quil a faict ⁊ commande. Et de lautre le Pape chief de leglise Rom¬	la saincte eglise qu'il a faict et commande. Et de l'autre le Pape chief de l'eglise Rom¬
maine ⁊ ses decretz ⁊ ordonnances: affin que les consciences craintiues/ qui ont pen¬	maine et ses decretz et ordonnances: affin que les consciences craintives/ qui ont pen¬
se la papaulte estre de Dieu: ⁊ qui ont plus tremble pour les fulminations des Papes/	se la papaulte estre de Dieu: et qui ont plus tremble pour les fulminations des Papes/
⁊ plus craint de passer les ordonnances papales/ que la loy de Dieu soyent deliurees de	et plus craint de passer les ordonnances papales/ que la loy de Dieu soyent delivrees de
ceste tyrannie/ ⁊ que plainement se retournẽt au uray Dieu par nostre Seigneur Iesus/	ceste tyrannie/ et que plainement se retournent au vray Dieu par nostre Seigneur Jesus/
suyuant iceluy seul/ ⁊ sarrestant a sa saincte parolle/ tellement que tout le monde deliure	suyvant iceluy seul/ et s'arrestant a sa saincte parolle/ tellement que tout le monde delivre
de lerreur ⁊ abusion papisticque/ delaissant uanite/ suyue la uerite/ retournant au uray	de l'erreur et abusion papisticque/ delaissant vanite/ suyve la verite/ retournant au vray
Dieu qui a faict le ciel ⁊ la terre/ ladorant ⁊ seruant a luy seul/ uiuant tous comme freres	Dieu qui a faict le ciel et la terre/ l'adorant et servant a luy seul/ vivant tous comme freres
en uraye charite sans tuer ⁊ meurtrir lung laultre/ comme lon a faict iusques a present	en vraye charite sans tuer et meurtrir l'ung l'aultre/ comme l'on a faict jusques a present
espanchant le sang innocent/ persecutant Iesus en ses membres/ par feu/ glaiue/ ⁊ aul¬	espanchant le sang innocent/ persecutant Jesus en ses membres/ par feu/ glaive/ et aul¬
tres tormentz par faulte de congnoistre Iesus ⁊ sa parolle: ⁊ ce a linstigation du Pape ⁊	tres tormentz par faulte de congnoistre Jesus et sa parolle: et ce a l'instigation du Pape et
des siens/ pour maintenir ses abominations ⁊ mauldictes ordonnances.	des siens/ pour maintenir ses abominations et mauldictes ordonnances.
Dieu plain de toute bonte ⁊ misericorde illumine tellemẽt le coeur dung chascun/ que	Dieu plain de toute bonte et misericorde illumine tellement le coeur d'ung chascun/ que
tous uoyent ⁊ congnoissent la uerite/ le chemin de uie ⁊ de salut/ ⁊ que tous le tiennent	tous voyent et congnoissent la verite/ le chemin de vie et de salut/ et que tous le tiennent
uiuant tous sainctement en une loy/ foy/ ⁊ Euãgile de uerite en lhõneur ⁊ gloire du nom	vivant tous sainctement en une loy/ foy/ et Evangile de verite en l'honneur et gloire du nom
de Dieu/ ⁊ edification lung de laultre/ tellement quen Leglise ny aye aultre chief que Ie¬	de Dieu/ et edification l'ung de l'aultre/ tellement qu'en L'eglise n'y aye aultre chief que Je¬
