¶ Articles ueritables sur les horribles/ grandz ⁊ importables abuz de la Messe papalle:	¶ Articles veritables sur les horribles/ grandz et importables abuz de la Messe papalle:
inuentee directement contre la saincte Cene de Iesus Christ.	inventee directement contre la saincte Cene de Jesus Christ.
Ie inuocque le ciel ⁊ la terre/	Je invocque le ciel et la terre/
en tesmoignage de uerite: contre ceste pompeuse ⁊ orgueilleuse messe papalle/ par laquelle le mõde (si Dieu	en tesmoignage de verite: contre ceste pompeuse et orgueilleuse messe papalle/ par laquelle le monde (si Dieu
bien tost ny remedie) est/ ⁊ sera totallement ruine/ abysme/ perdu ⁊ desole: quand en icelle nostre Seigneur est	bien tost n'y remedie) est/ et sera totallement ruine/ abysme/ perdu et desole: quand en icelle nostre Seigneur est
si oultrageusemẽt blaspheme: ⁊ le peuple seduict ⁊ aueugle: ce que plus on ne doibt souffrir ny endurer. Mais affin que plus aysemẽt le cas soit dung chascun	si oultrageusement blaspheme: et le peuple seduict et aveugle: ce que plus on ne doibt souffrir ny endurer. Mais affin que plus aysement le cas soit d'ung chascun
entendu: par articles il conuient proceder.	entendu: par articles il convient proceder.
Premierement/	Premierement/
a tout fidele chrestien/ est ⁊ doibt estre trescertain que nostre Seigneur ⁊ seul sauueur Iesus Christ cõme grand euesque ⁊ pasteur	a tout fidele chrestien/ est et doibt estre tres certain que nostre Seigneur et seul sauveur Jesus Christ comme grand evesque et pasteur
eternellement ordõne de Dieu/ a baille son corps/ son ame/ sa uie/ ⁊ son sang pour nostre sanctification en sacrifice tresparfaict:	eternellement ordonne de Dieu/ a baille son corps/ son ame/ sa vie/ et son sang pour nostre sanctification en sacrifice tres parfaict:
lequel ne peult/ ⁊ ne doibt iamais estre reitere par aucun sacrifice uisible: qui ne ueult entieremẽt renõcer a iceluy cõme sil estoit inefficax/ insuffisãt/ ⁊ impar	lequel ne peult/ et ne doibt jamais estre reitere par aucun sacrifice visible: qui ne veult entierement renoncer a iceluy comme s'il estoit inefficax/ insuffisant/ et impar¬
faict. Laquelle chose non seulement dire: mais aussi pẽser/ est horrible/ ⁊ execrable blaspheme. Et toutesfoys la terre a este/ ⁊ est encore de p̃sent en plusieurs	faict. Laquelle chose non seulement dire: mais aussi penser/ est horrible/ et execrable blaspheme. Et toutesfoys la terre a este/ et est encore de present en plusieurs
lieux chargee/ ⁊ rẽplie de miserables sacrificateurs: lesquelz cõme silz estoiẽt noz redẽpteurs se mettẽt au lieu de Iesus christ: ou se font cõpaignons diceluy/	lieux chargee/ et remplie de miserables sacrificateurs: lesquelz comme s'ilz estoient noz redempteurs se mettent au lieu de Jesus christ: ou se font compaignons d'iceluy/
disans: Quilz offrẽt a Dieu sacrifice plaisant/ ⁊ aggreable cõme celuy de Abraham/ Isaac ⁊ Iacob/ poͬ le salut tãt des uiuãs que des trespassez: laq̃lle chose	disans: Qu'ilz offrent a Dieu sacrifice plaisant/ et aggreable comme celuy de Abraham/ Isaac et Jacob/ pour le salut tant des vivans que des trespassez: laquelle chose
ilz font apertemẽt cõtre toute uerite de saincte escripture. Car par le grãd ⁊ admirable sacrifice de Iesus christ/ tout sacrifice exterieur et uisible est aboly et	ilz font apertement contre toute verite de saincte escripture. Car par le grand et admirable sacrifice de Jesus christ/ tout sacrifice exterieur et visible est aboly et
euacue: ⁊ iamais aultre nest demoure. Ce q̃ ie dis est tresamplemẽt monstre en lepistre aux Hebrieux es chap̃. 7.9. ⁊ .10. lesq̃lz ie supplie a tout le mõde diligen	evacue: et jamais aultre n'est demoure. Ce que je dis est tres amplement monstre en l'epistre aux Hebrieux es chapitres 7.9. et .10. lesquelz je supplie a tout le monde diligen¬
temẽt cõsiderer. Toutesfoys poͬ ung peu le toucher/ ⁊ ayder lesperit des plus petis/ au .7. il est ainsi escrit: Il estoit cõuenable q̃ noꝰ eussiõs ung euesq̃/ saĩct/	tement considerer. Toutesfoys pour ung peu le toucher/ et ayder l'esperit des plus petis/ au .7. il est ainsi escrit: Il estoit convenable que nous eussions ung evesque/ sainct/
innocẽt/ ⁊ sans macule: leq̃l na point necessite de offrir tous les iours sacrifices: premieremẽt pour ses pechez/ puis apres poͬ ceulx du peuple: car il a faict ce/	innocent/ et sans macule: lequel n'a point necessite de offrir tous les jours sacrifices: premierement pour ses pechez/ puis apres pour ceulx du peuple: car il a faict ce/
en se offrãt une foys. Notãment il dit: En se offrant une foys. Car iamais ceste oblatiõ ne fut ny ne sera reiteree/ ne aucune pareille. Itẽ au .9. cha. Christ	en se offrant une foys. Notamment il dit: En se offrant une foys. Car jamais ceste oblation ne fut ny ne sera reiteree/ ne aucune pareille. Item au .9. chapitre Christ
euesque des biens a aduenir par son propre sang est entre une foys es sanctuaires. Uoicy ou de rechief il dit que par se estre presente une foys/ redemption	evesque des biens a advenir par son propre sang est entre une foys es sanctuaires. Voicy ou de rechief il dit que par se estre presente une foys/ redemption
eternelle est faicte. Parquoy il est euident que en nostre redẽption ne auõs besoing de telz sacrificateurs/ si nous ne uoulõs renõcer a la mort de Iesus christ.	eternelle est faicte. Parquoy il est evident que en nostre redemption ne avons besoing de telz sacrificateurs/ si nous ne voulons renoncer a la mort de Jesus christ.
Item au .10. chap̃. Uoicy ie uiens: affin sire Dieu que ie face ta uolunte/ par laquelle uolunte/ nous sommes sanctifiez par loblation une foys faicte du	Item au .10. chapitre. Voicy je viens: affin sire Dieu que je face ta volunte/ par laquelle volunte/ nous sommes sanctifiez par l'oblation une foys faicte du
corps de Christ. Et aussi le sainct esperit le testifie/ disant: ie nauray plus souuenance de leurs iniqͥtez: ⁊ la ou est remissiõ dicelles/ il ny a plus doblation pour	corps de Christ. Et aussi le sainct esperit le testifie/ disant: je n'auray plus souvenance de leurs iniquitez: et la ou est remission d'icelles/ il n'y a plus d'oblation pour
