¶ Linstruction des	¶ L’instruction des
enfans/ cõtenant la ma-	enfans/ contenant la ma¬
et escrire en	et escrire en
Loraison de Iesu Christ.	L’oraison de Jesu Christ.
Les articles de la foy.	Les articles de la foy.
La salutation angelicque.	La salutation angelicque.
maniere de recueil/ des seulles sentẽces	maniere de recueil/ des seulles sentences
de lescripture saincte.	de l’escripture saincte.
ualeurs.	valeurs.
Mon peuple a este captif/ pourtant	Mon peuple a este captif/ pourtant
quil na pas eu science.	qu’il n’a pas eu science.
Seigñr/ biẽheureux est lhõme/ lequel	Seigneur/ bienheureux est l’homme/ lequel
a b c d e f g h i k l m n o	a b c d e f g h i k l m n o
p q r s t u x y z	p q r s t u x y z
N O P Q R S T U X Y Z	N O P Q R S T U X Y Z
N O P Q R S T U X	N O P Q R S T U X
¶ Consonantes.	¶ Consonantes.
¶ Aspiration.	¶ Aspiration.
¶ Uoyeles.	¶ Voyeles.
a e i y o u	a e i y o u
i et u	i et u
d d/ i y/ m m/ n n/ r r/ s s/ u u/	d d/ i y/ m m/ n n/ r r/ s s/ u u/
¶ La forme doraison/ laquelle Iesus Christ	¶ La forme d’oraison/ laquelle Jesus Christ
nostre cõmun pere/ pour obtenir toutes cho¬	nostre commun pere/ pour obtenir toutes cho¬
N	N¬
Ostre pere/ qui es eis cieux/	Ostre pere/ qui es eis cieux/
Ton royaume aduienne.	Ton royaume advienne.
re comme au ciel.	re comme au ciel.
Donnè nous au iourdhuy nostre pain	Donnè nous aujourdhuy nostre pain
Et nous pardonnè noz offenses/ ainsi	Et nous pardonnè noz offenses/ ainsi
offensent.	offensent.
Et ne nous induis point en tentation:	Et ne nous induis point en tentation:
¶ Car a toy est le royaume/ ⁊ la puissãce/	¶ Car a toy est le royaume/ et la puissance/
¶ Les articles de nostre foy/ lesquelz deuõs	¶ Les articles de nostre foy/ lesquelz devons
croire de cueur/ ⁊ confesser de bouche.	croire de cueur/ et confesser de bouche.
E croy en Dieu le pere tout puissãt/	E croy en Dieu le pere tout puissant/
Et en Iesus Christ son seul filz/ nostre	Et en Jesus Christ son seul filz/ nostre
seigneur.	seigneur.
uierge Mariè.	vierge Mariè.
crucifie/ mort/ ⁊ enseuely/ descẽdu aux	crucifie/ mort/ et ensevely/ descendu aux
enfers.	enfers.
Monté aux cieux/ seant a la dextre de	Monté aux cieux/ seant a la dextre de
Dont uiẽdra iuger les uifz ⁊ les mortz.	Dont viendra juger les vifz et les mortz.
¶ Ie croy au sainct esperit.	¶ Je croy au sainct esperit.
munion des sainctz/	munion des sainctz/
La resurrection de la chair.	La resurrection de la chair.
La uie eternelle. Amen.	La vie eternelle. Amen.
le seigñr Dieu de mot a mot dõna a Moyse/	le seigneur Dieu de mot a mot donna a Moyse/
strãs ce quil fault faire ⁊ non faire/ desquelz	strans ce qu’il fault faire et non faire/ desquelz
◊ / selon les anciens/ principalle¬	◊ / selon les anciens/ principalle¬
¶ La premiere table contient cinq comman¬	¶ La premiere table contient cinq comman¬
lhõneur de Dieu.	l’honneur de Dieu.
Preface.	Preface.
Oymesme suis l'Eternel/ tõ Di¬	Oymesme suis l’Eternel/ ton Di¬
d'Egypte/ de la maison de seruitude.	d’Egypte/ de la maison de servitude.
¶ Le premier commandement.	¶ Le premier commandement.
uant moy.	vant moy.
Tu ne te feras image taillee/ ne simi¬	Tu ne te feras image taillee/ ne simi¬
litude quelconque/ des choses qui sont	litude quelconque/ des choses qui sont
eis eaues dessoubz la terre. Tu ne t'en	eis eaues dessoubz la terre. Tu ne t’en¬
ras. Car moymesme suis l'Eternel/	ras. Car moymesme suis l’Eternel/
ton Dieu/ Dieu ialoux/ punissãt l'ini¬	ton Dieu/ Dieu jaloux/ punissant l’ini¬
