¶ Le liure des mar¬	¶ Le livre des mar¬
chãs/ fort utile a toutes gẽs	chans/ fort utile a toutes gens
nouuellement cõpose par	nouvellement compose par
le sire Pantapole/	le sire Pantapole/
tel affaire/	tel affaire/
prochain uoysin	prochain voysin
du seigneur	du seigneur
Panta¬	Panta¬
¶ Prologue de Lauteur.	¶ Prologue de L’auteur.
¶ Le ꝓpos dõt a p̃sent est questiõ/ est autãt	¶ Le propos dont a present est question/ est autant
memorable ⁊ digne destre cõgneu/ q̃ nul au¬	memorable et digne d’estre congneu/ que nul au¬
tre de quoy on sceust ꝑler/ ⁊ si est la matiere	tre de quoy on sceust parler/ et si est la matiere
toutes gẽs biẽ ayseemẽt sera entẽdue/ uoire	toutes gens bien ayseement sera entendue/ voire
certes/ ⁊ des petis enfans/ soyent a Paris/	certes/ et des petis enfans/ soyent a Paris/
ou a Lyõ/ a Uenise/ ou en Anuers/ par tous	ou a Lyon/ a Venise/ ou en Anvers/ par tous
pays/ terres et seigneuries: car force mar¬	pays/ terres et seigneuries: car force mar¬
en sera plus euidẽte. Brief/ poͬ le tout dire/	en sera plus evidente. Brief/ pour le tout dire/
en ce liure/ il ny a pas une difficulte Sorbo¬	en ce livre/ il n’y a pas une difficulte Sorbo¬
nicque. Mais seulemẽt aucũs abuz trop ma	nicque. Mais seulement aucuns abuz trop ma¬
nifestes sõt briefuemẽt touchez. Et pourtãt	nifestes sont briefvement touchez. Et pourtant
rer/ Autremẽt ex nũc ꝓut ex tunc et ecõtra/	rer/ Autrement ex nunc prout ex tunc et econtra/
cest adire/ des maintenant cõme alors per¬	c’est a dire/ des maintenant comme alors per¬
emptoiremẽt il est cite/ ad diem nisi ⁊c. pour	emptoirement il est cite/ ad diem nisi etc. pour
cõparoir en la presence de la haulte maieste	comparoir en la presence de la haulte majeste
droictemẽt en scaura iuger: car autresfois il	droictement en scaura juger: car autresfois il
a sentẽtie merueilleusemẽt au ꝓffit des par¬	a sententie merveilleusement au proffit des par¬
ties/ cõe il apꝑt en ses Annales ⁊ Cronicq̃s.	ties/ come il appert en ses Annales et Cronicques.
Dieu a tousiours en soit loue. Amen.	Dieu a tousjours en soit loue. Amen.
des marchans.	des marchans.
E¬	E¬
Stat de marchandise/	Stat de marchandise/
pour le tẽps de ceste uie	pour le temps de ceste vie
saire que sans iceluy	saire que sans iceluy
bõnemẽt on ne peult uiure. Il est	bonnement on ne peult vivre. Il est
louable et fort utile/ pourueu qͥl	louable et fort utile/ pourveu qu’il
soit fidelement entretenu. Quil	soit fidelement entretenu. Qu’il
apꝑtemẽt le demõstre/ car certes	apertement le demonstre/ car certes
il est besoing que labõdãce dung	il est besoing que l’abondance d’ung
pays supplie ⁊ satisface a ce qui	pays supplie et satisface a ce qui
deffault en laultre. Et par ainsi	deffault en l’aultre. Et par ainsi
industrieux/ sont requis poͬ len¬	industrieux/ sont requis pour l’en¬
tretenement de la chose publicq̃/	tretenement de la chose publicque/
lesquelz sans finesse/ sans frau¬	lesquelz sans finesse/ sans frau¬
de ou cautelle/ ayent a distribuer/	de ou cautelle/ ayent a distribuer/
porter/ plusieͬs sortes de marchã¬	porter/ plusieurs sortes de marchan¬
dises dũg lieu en aultre/ selõ lexi¬	dises d’ung lieu en aultre/ selon l’exi¬
gence du tẽps/ ⁊ necessite du peu¬	gence du temps/ et necessite du peu¬
ple. Ausquelz loyaulx marchans	ple. Ausquelz loyaulx marchans
