¶ Noelz nouueaulx.	¶ Noelz nouveaulx.
¶ Musiciens amateurs des Cantiques/	¶ Musiciens amateurs des Cantiques/
Lesq̃lz sont faictz sur les uieulx ⁊ antiq̃s:	Lesquelz sont faictz sur les vieulx et antiques:
Ne chãtez point brayãt cõme noz ueaulx/	Ne chantez point brayant comme noz veaulx/
Głieux chãtre/ ne uault poĩt deux naueaux	Glorieux chantre/ ne vault point deux naveaux
En foy contrict. Note cela chanteur.	En foy contrict. Note cela chanteur.
Humbles enfantz/ pleins de mansuetude	Humbles enfantz/ pleins de mansuetude
Si uous uoulez/ auoir loz ⁊ renom	Si vous voulez/ avoir loz et renom
De collauder/ du hault seigneur le nom.	De collauder/ du hault seigneur le nom.
Mettez uoz coeͬs/ a chãter uers ⁊ carmes/	Mettez voz coeurs/ a chanter vers et carmes/
Auec accordz spirituelz/ en larmes/	Avec accordz spirituelz/ en larmes/
Il fault auoir un coeur/ par foy contrict	Il fault avoir un coeur/ par foy contrict
Grace ⁊ pardon/ aurez si estes fermes/	Grace et pardon/ aurez si estes fermes/
Retournez uous a Christ/ ⁊ a ses armes	Retournez vous a Christ/ et a ses armes
Mettez uoz coeͬs/ a chãter uers ⁊ carmes.	Mettez voz coeurs/ a chanter vers et carmes.
Nous ne pouõs tãt soyõs fors gẽsdarmes	Nous ne povons tant soyons fors gensdarmes
Couronne auoir/ ainsi est il escript:	Couronne avoir/ ainsi est il escript:
Poͬ mettre a fin/ mes ꝓpos ⁊ mes termes:	Pour mettre a fin/ mes propos et mes termes:
Y ME VINT MAL	Y ME VINT MAL
A GRE	A GRE
Conditor alme siderum.	Conditor alme siderum.
Rand cõditeur de tous les cieulx/	Rand conditeur de tous les cieulx/
Lumiere eternelle aux croyantz/	Lumiere eternelle aux croyantz/
Exauce la uoix des priantz.	Exauce la voix des priantz.
De nous pecheurs/ en temps certain:	De nous pecheurs/ en temps certain:
Tu as baille ton ame ⁊ corps	Tu as baille ton ame et corps
¶ Dedens le uentre uirginal/	¶ Dedens le ventre virginal/
Lequel a porte nostre mal:	Lequel a porte nostre mal:
En effaceant nostre forfaict.	En effaceant nostre forfaict.
Deuant luy nous humiliantz.	Devant luy nous humiliantz.
De Satan/ ⁊ de ses liens.	De Satan/ et de ses liens.
¶ O Iesus Christ: iuge auenir/	¶ O Jesus Christ: juge avenir/
Tu es seul qui poeux subuenir	Tu es seul qui poeux subvenir
