¶ Chansons nouuelles	¶ Chansons nouvelles
demonstrantz plusieurs erreurs	demonstrantz plusieurs erreurs
et faulsetez: desquelles le	et faulsetez: desquelles le
paoure mõde est rẽply	pauvre monde est remply
de Satan.	de Satan.
Matth.xu.	Matth.xv.
¶ Les disciples dirẽt a Iesus.	¶ Les disciples dirent a Jesus.
Nas tu point cõgneu que les	N’as tu point congneu que les
oyantz ceste parolle?	oyantz ceste parolle?
Iesus leur respondit.	Jesus leur respondit.
Toute plantatiõ laq̃lle mon	Toute plantation laquelle mon
pere celeste naura point plã¬	pere celeste n’aura point plan¬
ilz sont aueugles/ et condu¬	ilz sont aveugles/ et condu¬
cteurs des aueugles ⁊c.	cteurs des aveugles etc.
¶ Chanson nouuelle de lorigine/	¶ Chanson nouvelle de l’origine/
autorite/ ⁊ puissance de leuãgile/	autorite/ et puissance de l’evangile/
nouuelle doctrine/ Sur le chant:	nouvelle doctrine/ Sur le chant:
Ie ne scay pas cõment.	Je ne scay pas comment.
I	J¬
E mesbahis cõment	E m’esbahis comment
Remply doutrecuydance/	Remply d’outrecuydance/
Me faict tant de tourment:	Me faict tant de tourment:
Car par faulx iugement	Car par faulx jugement
Me poursuyt a outrance.	Me poursuyt a outrance.
Aueugles conducteurs/	Aveugles conducteurs/
Folz cuydantz estre sages/	Folz cuydantz estre sages/
Cõment maistres menteurs/	Comment maistres menteurs/
De sectes inuenteurs/	De sectes inventeurs/
¶ Les auaricieux/	¶ Les avaricieux/
Felons/ contentieux/	Felons/ contentieux/
Tous farcis de fallace/	Tous farcis de fallace/
Me blasment en tous lieux/	Me blasment en tous lieux/
Me appellent en toute place.	Me appellent en toute place.
¶ Aussi nouuelle foy/	¶ Aussi nouvelle foy/
Faulse doctrine ⁊ loy/	Faulse doctrine et loy/
Ces aueugles me nomment/	Ces aveugles me nomment/
Monstrantz que ce grand roy/	Monstrantz que ce grand roy/
Ne sa grace ne estiment.	Ne sa grace ne estiment.
¶ Pourtant ie uous diray	¶ Pourtant je vous diray
Mon origine au uray/	Mon origine au vray/
Ie uous demonstreray	Je vous demonstreray
Ma puissance: ⁊ feray	Ma puissance: et feray
Mon estat apparoistre.	Mon estat apparoistre.
¶ Ie suis du dieu uiuant	¶ Je suis du dieu vivant
Au uray salut ⁊ uie:	Au vray salut et vie:
Car tout homme suyuant	Car tout homme suyvant
Ma uoye ⁊ semployant	Ma voye et s’employant
Pour moy, Christ glorifie.	Pour moy, Christ glorifie.
Par la transgression	Par la transgression
Dadam/ estoit mortelle:	D’adam/ estoit mortelle:
Car sans remission	Car sans remission
Mort ⁊ damnation	Mort et damnation
¶ Mais par la grand bonte	¶ Mais par la grand bonte
De dieu/ ⁊ charite/	De dieu/ et charite/
Grace ⁊ paix uous fut faicte/	Grace et paix vous fut faicte/
De ce la uerite	De ce la verite
Ie suis pleine ⁊ parfaicte.	Je suis pleine et parfaicte.
¶ Dieu le pere puissant/	¶ Dieu le pere puissant/
A Adam languissant/	A Adam languissant/
Aussi a tous noz peres/	Aussi a tous noz peres/
Son filz obeyssant/	Son filz obeyssant/
Promist ces iours prosperes.	Promist ces jours prosperes.
¶ Par moy lhomme de dieu/	¶ Par moy l’homme de dieu/
Le bon Moyse hebrieu/	Le bon Moyse hebrieu/
En esprit ont preueu/	En esprit ont preveu/
Cerche/ escript/ promeu	Cerche/ escript/ promeu
De Christ les faictz ⁊ gestes.	De Christ les faictz et gestes.
¶ Tout ainsi quont predit	¶ Tout ainsi qu’ont predit
Iesus Christ se fist homme/	Jesus Christ se fist homme/
Qui pour les siens se offrit/	Qui pour les siens se offrit/
Effaceant le rescript/	Effaceant le rescript/
Pour uous payant la somme.	Pour vous payant la somme.
