¶ Les faictz de Iesus Christ ⁊ du Pape/ par lesquelz	¶ Les faictz de Jesus Christ et du Pape/ par lesquelz
chascun pourra facilement congnoistre la grãde difference de entre eulx: nouuel¬	chascun pourra facilement congnoistre la grande difference de entre eulx: nouvel¬
droictz canons/ par le lecteur du sainct Palais.	droictz canons/ par le lecteur du sainct Palais.
Quam male conueniant cum Christi pectore Iesu.	Quam male conveniant cum Christi pectore Jesu.
Pontificum mores: iste libellus habet.	Pontificum mores: iste libellus habet.
Hoc pius/ ⁊ lecto codice doctus eris.	Hoc pius/ et lecto codice doctus eris.
Lecteur tu uois/ les faictz de Iesus Christ	Lecteur tu vois/ les faictz de Jesus Christ
En ce liuret/ aussi les meurs du pape	En ce livret/ aussi les meurs du pape
Le Pape non: mais tout bien prent ⁊ happe.	Le Pape non: mais tout bien prent et happe.
priui	privi¬
legio	legio
stoli¬	stoli¬
¶ A tous ceulx qui liront Grace/ paix/ ⁊ salut de Dieu nostre pere par no¬	¶ A tous ceulx qui liront Grace/ paix/ et salut de Dieu nostre pere par no¬
stre Seigneur Iesus son vray filz/ qui soit habitãt au coeur dung chascun/	stre Seigneur Jesus son vray filz/ qui soit habitant au coeur d’ung chascun/
L	L¬
clair ⁊ si resplendissant quil ny a si aueugle/ quil ne uoye bien la grosse	clair et si resplendissant qu’il n’y a si aveugle/ qu’il ne voye bien la grosse
differẽce entre la clarte du Sauueur/ ⁊ les grosses tenebres du Pape/ en¬	difference entre la clarte du Sauveur/ et les grosses tenebres du Pape/ en¬
tres de lestat papisticque. Tellement quon tiendroit a bon droict celuy	tres de l’estat papisticque. Tellement qu’on tiendroit a bon droict celuy
point faict comme le Pape ⁊ les siens. Neantmoins la charite de nostre Seigneur con¬	point faict comme le Pape et les siens. Neantmoins la charite de nostre Seigneur con¬
trainct de comparer Iesus auec le Pape: non point pour affection mauuaise/ ou par ire/	trainct de comparer Jesus avec le Pape: non point pour affection mauvaise/ ou par ire/
de misericorde uueille tous illuminer/ tant le Pape que tous Euesques/ prestres/ moy¬	de misericorde vueille tous illuminer/ tant le Pape que tous Evesques/ prestres/ moy¬
Dieu/ estans sains en foy ⁊ uiuans tous purement. Car ne desirons que le salut dung	Dieu/ estans sains en foy et vivans tous purement. Car ne desirons que le salut d’ung
chascun: ⁊ que tous uiennent a la congnoissance de uerite/ priant tous qui ce liure lirõt/	chascun: et que tous viennent a la congnoissance de verite/ priant tous qui ce livre liront/
le monde crie contre le Pape ⁊ son esglise/ a cause des paouretez ⁊ ordures qui y sont: ⁊ ny	le monde crie contre le Pape et son esglise/ a cause des paovretez et ordures qui y sont: et n’y
che/ ou secretement en son coeur/ ⁊ mesme le Pape ⁊ les siens se congnoissent telz/ quilz	che/ ou secretement en son coeur/ et mesme le Pape et les siens se congnoissent telz/ qu’ilz
ont honte deulx mesmes/ ne cerchant que se cacher/ ⁊ aucunement soy entretenir/ par le	ont honte d’eulx mesmes/ ne cerchant que se cacher/ et aucunement soy entretenir/ par le
ceulx qui monstrent leur estat/ ⁊ a ce par tous moyens quil est possible de penser trauail¬	ceulx qui monstrent leur estat/ et a ce par tous moyens qu’il est possible de penser travail¬
gneue la racine du mal: pourtant quon ne regarde que la uie du Pape ⁊ des siens: car la	gneue la racine du mal: pourtant qu’on ne regarde que la vie du Pape et des siens: car la
plus part des hommes pensent que si le Pape ⁊ les siens uiuoyent selon leur estat/ selon	plus part des hommes pensent que si le Pape et les siens vivoyent selon leur estat/ selon
nonobstant que la uie ⁊ le train du Pape soit trespaoure ⁊ fort meschant/ beaucoup plus	nonobstant que la vie et le train du Pape soit tres paovre et fort meschant/ beaucoup plus
Affin donc quon congnoisse lestat du Pape en soy quel il est/ quelles sont ses ordonnan¬	Affin donc qu’on congnoisse l’estat du Pape en soy quel il est/ quelles sont ses ordonnan¬
ces/ sans faire mention des uies des Papes/ comme des fardemens/ enchanterie/ ⁊ tou¬	ces/ sans faire mention des vies des Papes/ comme des fardemens/ enchanterie/ et tou¬
auec sa fille propre Lucresse: de laquelle auoit la compaignie son frere le Duc de Ualen¬	avec sa fille propre Lucresse: de laquelle avoit la compaignie son frere le Duc de Valen¬
estoit fille/ femme/ ⁊ belle fille de Alexandre. Des meurtres et horribles effusions	estoit fille/ femme/ et belle fille de Alexandre. Des meurtres et horribles effusions
de sang de Iulle/ auec son yurongnerie et execrable paillardise/ ne de la gourmandi¬	de sang de Julle/ avec son yvrongnerie et execrable paillardise/ ne de la gourmandi¬
cides/ et aultres choses plus que diabolicques de Clement ne faisons mention.	cides/ et aultres choses plus que diabolicques de Clement ne faisons mention.
la saincte eglise quil a faict ⁊ commande. Et de lautre le Pape chief de leglise Rom¬	la saincte eglise qu’il a faict et commande. Et de l’autre le Pape chief de l’eglise Rom¬
maine ⁊ ses decretz ⁊ ordonnances: affin que les consciences craintiues/ qui ont pen¬	maine et ses decretz et ordonnances: affin que les consciences craintives/ qui ont pen¬
⁊ plus craint de passer les ordonnances papales/ que la loy de Dieu soyent deliurees de	et plus craint de passer les ordonnances papales/ que la loy de Dieu soyent delivrees de
suyuant iceluy seul/ ⁊ sarrestant a sa saincte parolle/ tellement que tout le monde deliure	suyvant iceluy seul/ et s’arrestant a sa saincte parolle/ tellement que tout le monde delivre
de lerreur ⁊ abusion papisticque/ delaissant uanite/ suyue la uerite/ retournant au uray	de l’erreur et abusion papisticque/ delaissant vanite/ suyve la verite/ retournant au vray
en uraye charite sans tuer ⁊ meurtrir lung laultre/ comme lon a faict iusques a present	en vraye charite sans tuer et meurtrir l’ung l’aultre/ comme l’on a faict jusques a present
tres tormentz par faulte de congnoistre Iesus ⁊ sa parolle: ⁊ ce a linstigation du Pape ⁊	tres tormentz par faulte de congnoistre Jesus et sa parolle: et ce a l’instigation du Pape et
des siens/ pour maintenir ses abominations ⁊ mauldictes ordonnances.	des siens/ pour maintenir ses abominations et mauldictes ordonnances.
tous uoyent ⁊ congnoissent la uerite/ le chemin de uie ⁊ de salut/ ⁊ que tous le tiennent	tous voyent et congnoissent la verite/ le chemin de vie et de salut/ et que tous le tiennent
de Dieu/ ⁊ edification lung de laultre/ tellement quen Leglise ny aye aultre chief que Ie¬	de Dieu/ et edification l’ung de l’aultre/ tellement qu’en L’eglise n’y aye aultre chief que Je¬
sus/ quon ne tienne aultre chose que ce quil a ordonne purement ⁊ simplement: ainsi que	sus/ qu’on ne tienne aultre chose que ce qu’il a ordonne purement et simplement: ainsi que
Le bon plaisir du Seigneur de tous/ qui tout a faict/ soit par sa bõte enuoyer par tou¬	Le bon plaisir du Seigneur de tous/ qui tout a faict/ soit par sa bonte envoyer par tou¬
la uerite/ comme le uray sauueur Iesus/ a cõmande sans y riens mesler/ faisant que tous	la verite/ comme le vray sauveur Jesus/ a commande sans y riens mesler/ faisant que tous
prennent la uerite/ ⁊ que tous soyõs amenez au troupeau de Iesus faictz tous ung trou¬	prennent la verite/ et que tous soyons amenez au troupeau de Jesus faictz tous ung trou¬
meine ⁊ conduise tous par le droict chemin iusques a la fin. Amen.	meine et conduise tous par le droict chemin jusques a la fin. Amen.
¶ Christ.	¶ Christ.
¶ Ie suis ung	¶ Je suis ung
me/ la derisiõ des	me/ la derision des
pris du peuple.	pris du peuple.
Psalm.21.	Psalm.21.
me nest point ue¬	me n’est point ve¬
uy: mais pour ser	vy: mais pour ser¬
uir. Mat.20.	vir. Mat.20.
neanty soymes¬	neanty soymes¬
forme du seruiteͬ/	forme du serviteur/
faict en la simili¬	faict en la simili¬
⁊ trouue en habit	et trouve en habit
humilie soymes¬	humilie soymes¬
mes/ ⁊ a este faict	mes/ et a este faict
la mort/ ⁊ la mort	la mort/ et la mort
¶ Pierre.	¶ Pierre.
¶ Christ a souf¬	¶ Christ a souf¬
uous laissant exemple: affin que ensuyuez ses uoyes. 1.Pet.2.	vous laissant exemple: affin que ensuyvez ses voyes. 1.Pet.2.
uons estime comme ung lepreux/ ⁊ auons este gueris par la basture diceluy. Esaye.53.	vons estime comme ung lepreux/ et avons este gueris par la basture d’iceluy. Esaye.53.
¶ Le Pape. ¶ Nous auos la seigneurie de toute la terre/ car a nous appartiẽt	¶ Le Pape. ¶ Nous avons la seigneurie de toute la terre/ car a nous appartient
Nemo aliorũ facta. Car nous auons tous les droictz cachez en larche de nostre coeur.	Nemo aliorum facta. Car nous avons tous les droictz cachez en l’arche de nostre coeur.
la. Nous sommes assis sur la chaire de p̃minẽce. de sepul. suꝑ ca. Tous princes romains	la. Nous sommes assis sur la chaire de preminence. de sepul. super ca. Tous princes romains
ont adore nr̃e siege. de iureiur. in Clemẽ. Roma. prin. ¶ Le Pape se dit seruus seruorũ:	ont adore notre siege. de jurejur. in Clemen. Roma. prin. ¶ Le Pape se dit servus servorum:
ment son hypocrisie/ ueu quil usurpe autorite sur tous. Et se faict appeller sanctissimus	ment son hypocrisie/ veu qu’il usurpe autorite sur tous. Et se faict appeller sanctissimus
ce nom des idolatres cõme Paulus pere de Aphricanus/ estoit appelle. Macrobius de	ce nom des idolatres comme Paulus pere de Aphricanus/ estoit appelle. Macrobius de
somno. Scipio. in princi.	somno. Scipio. in princi.
Regna fugit Christus.	Regna fugit Christus.
congneut que ilz debuoyent	congneut que ilz debvoyent
uenir pour le prendre/ et le	venir pour le prendre/ et le
tira seul en la montaigne.	tira seul en la montaigne.
¶ Mõ Royaulme nest pas	¶ Mon Royaulme n’est pas
de ce monde. Ioan.18.	de ce monde. Joan.18.
dominatiõ sur eulx/ ⁊ ceulx	domination sur eulx/ et ceulx
sont nommez biẽsfaicteurs:	sont nommez biensfaicteurs:
mais il nest point ainsi de	mais il n’est point ainsi de
luy qui precede comme le seruiteur. Car lequel est le plus grand/ celuy qui est assis a ta¬	luy qui precede comme le serviteur. Car lequel est le plus grand/ celuy qui est assis a ta¬
uous comme celuy qui sert. Luc.22.	vous comme celuy qui sert. Luc.22.
¶ Le diable le transporta sur une montaigne fort haulte/ ⁊ luy mõstra tous les Royaul¬	¶ Le diable le transporta sur une montaigne fort haulte/ et luy monstra tous les Royaul¬
prosternant tu me adores. Adoncques Iesus luy dit. Ua Sathan: car il est escript. Tu	prosternant tu me adores. Adoncques Jesus luy dit. Va Sathan: car il est escript. Tu
¶ Et aucun luy dit. Maistre dis a mon frere quil partisse auec moy lheritaige. Et il luy	¶ Et aucun luy dit. Maistre dis a mon frere qu’il partisse avec moy l’heritaige. Et il luy
dist. Homme qui ma constitue iuge ou partisseur sur uous. Luce.12.	dist. Homme qui ma constitue juge ou partisseur sur vous. Luce.12.
