¶ Petit traicte tres	¶ Petit traicte tres
utile/ et salutaire de la	utile/ et salutaire de la
de nostre Sei¬	de nostre Sei¬
suchrist.	suchrist.
Audiens sapiens/	Audiens sapiens/
erit.	erit.
Aux beneuoles lecteurs: Salut.	Aux benevoles lecteurs: Salut.
Cest chose certaine et quasi a tous congneue/ que	C’est chose certaine et quasi a tous congneue/ que
me: iceluy est en grãd peril. Pour auquel mal/ incõ	me: iceluy est en grand peril. Pour auquel mal/ incon¬
ordonne toutes affectiõs ⁊ passiõs en cause de iuge-	ordonne toutes affections et passions en cause de juge-
mẽt/ estre reiectees ⁊ les occasiõs dicelles. De la uiẽt	ment/ estre rejectees et les occasions d’icelles. De la vient
ges/ quand il y a suspicion de faueur. Car ainsi que	ges/ quand il y a suspicion de faveur. Car ainsi que
miere du soleil: ainsi fõt les affectiõs ⁊ passiõs len¬	miere du soleil: ainsi font les affections et passions l’en¬
tiere congnoissance de uerite. Parquoy mes tres¬	tiere congnoissance de verite. Parquoy mes tres
uoꝰ supplie oster toute crainte humaine/ toute affe¬	vous supplie oster toute crainte humaine/ toute affe¬
restez a la cõsideration du long tẽps/ ne a la multi¬	restez a la consideration du long temps/ ne a la multi¬
tude de ceulx qͥ autremẽt ont tenu/ ⁊ dogmatise. Car	tude de ceulx qui autrement ont tenu/ et dogmatise. Car
titude ne soit oye cõtre uerite en iugement. Ne aussi	titude ne soit oye contre verite en jugement. Ne aussi
cõtre bonnes meurs/ elle est corruptelle. Par plus	contre bonnes meurs/ elle est corruptelle. Par plus
forte raison/ quãd elle est aduersaire a la saincte pa¬	forte raison/ quand elle est adversaire a la saincte pa¬
de tẽps enuieillie/ ou diminuee: mais eternellement	de temps envieillie/ ou diminuee: mais eternellement
faictes ie espere que entendrez clairement la pure/	faictes je espere que entendrez clairement la pure/
entiere/ et syncere uerite. Ce que le Seigneur uous	entiere/ et syncere verite. Ce que le Seigneur vous
T	T¬
nance de Dieu/ doibt	nance de Dieu/ doibt
estre dicte ⁊ tenue sain¬	estre dicte et tenue sain¬
quoy ce que Iesuchrist	quoy ce que Jesuchrist
⁊ diuin/ comme son sainct euãgile/	et divin/ comme son sainct evangile/
le sainct baptesme/ sa saincte cene et	le sainct baptesme/ sa saincte cene et
tain que Sathan soy transfigurant	tain que Sathan soy transfigurant
et iamais ne cesse de renuerser soubz	et jamais ne cesse de renverser soubz
quelque apparence de bien/ toute la	quelque apparence de bien/ toute la
ordõnances/ cõgnoissant que en icel¬	ordonnances/ congnoissant que en icel¬
lut de tout le monde consiste: car de	lut de tout le monde consiste: car de
Dieu et de sa uolunte ne pouuons	Dieu et de sa volunte ne pouvons
parolle. Parquoy il fault que tout ce	parolle. Parquoy il fault que tout ce
christ soit reigle/ conduict et monstre	christ soit reigle/ conduict et monstre
par icelle saincte parolle/ nõ pas par	par icelle saincte parolle/ non pas par
autrement il ny auroit iamais rien	autrement il n’y auroit jamais rien
lung diroit dune sorte/ puis lautre	l’ung diroit d’une sorte/ puis l’autre
dune autre. Ainsi que par longue et	d’une autre. Ainsi que par longue et
mal ⁊ dommage du paoure peuple	mal et dommage du paovre peuple
mal fault par layde et conduicte du	mal fault par l’ayde et conduicte du
Seigneur de paix et de uerite/ reti¬	Seigneur de paix et de verite/ reti¬
donnera de grace ⁊ pouuoir. A la¬	donnera de grace et pouvoir. A la¬
⁊ oblige par le uouloir ⁊ commãde¬	et oblige par le vouloir et commande¬
ment de Dieu trauailler ⁊ labourer.	ment de Dieu travailler et labourer.
exempt: mais plus tost sur peine de	exempt: mais plus tost sur peine de
