¶ Declaration de la	¶ Declaration de la
Messe/ Le fruict dicelle/ La	Messe/ Le fruict d’icelle/ La
quoy ⁊ cõmẽt on la	quoy et comment on la
tenir.	tenir.
Iesus dit. Iehan.ui.	Jesus dit. Jehan.vi.
a moy/ il naura point faim: et	a moy/ il n’aura point faim: et
mais soif.	mais soif.
Cephas Geranius aux lecteurs. S.	Cephas Geranius aux lecteurs. S.
estre a pñt cõmis ꝯtre la saĩcte institutiõ de la cene	estre a present commis contre la saincte institution de la cene
chose feincte ⁊ cõtrouuee au grãd deshõneur de Ie¬	chose feincte et controuvee au grand deshonneur de Je¬
sus Christ ⁊ de son eglise/ auõs obtenu ce pñt liure	sus Christ et de son eglise/ avons obtenu ce present livre
plicite ⁊ ignorãce daucũs: ⁊ rebouter labuz ⁊ teme¬	plicite et ignorance d’aucuns: et rebouter l’abuz et teme¬
traicte est submis au iugemẽt de tous/ entre lesq̃lz	traicte est submis au jugement de tous/ entre lesquelz
grãde uariete y a: nous priõs tous amateurs de ue¬	grande variete y a: nous prions tous amateurs de ve¬
estimer du tiltre ou dune portiõ le totage du liure/	estimer du tiltre ou d’une portion le totage du livre/
ce par la saĩcte escripture/ par laq̃lle toute chose se	ce par la saincte escripture/ par laquelle toute chose se
doibt rigler/ estimer/ ⁊ peser: puis en iuger. Autre¬	doibt rigler/ estimer/ et peser: puis en juger. Autre¬
Cest chose inciuile/ sans auoir ueu toute la loy/ de	C’est chose incivile/ sans avoir veu toute la loy/ de
Hilaire au liure de la trinite supplie/ quil ne soit	Hilaire au livre de la trinite supplie/ qu’il ne soit
point ꝯdãne/ deuãt q̃ on aye leu ce qͥl auoit escript.	point condamne/ devant que on aye leu ce qu’il avoit escript.
lerreur qui cy est cõuaincu. Car cõme dit le can.	l’erreur qui cy est convaincu. Car comme dit le can.
ne doyuẽt point estre iuges. Au moyen dequoy iu¬	ne doyvent point estre juges. Au moyen dequoy ju¬
gez uous mesmes iuste iugement/ ⁊ comme deuant	gez vous mesmes juste jugement/ et comme devant
tous serons iugez/ par Iesus Christ aux grandz	tous serons jugez/ par Jesus Christ aux grandz
Preface de Lautheur.	Preface de L’autheur.
N	N¬
des ꝓphetes ferme/ a la¬	des prophetes ferme/ a la¬
de regarder/ comme a la	de regarder/ comme a la
chandelle luysante en lieu obscur/	chandelle luysante en lieu obscur/
⁊ que lestoille du iour se lieue en uoz	et que l’estoille du jour se lieve en voz
que lescripture saincte nest point cõ¬	que l’escripture saincte n’est point con¬
gneue par nostre propre expositiõ.	gneue par nostre propre exposition.
en aucun tẽps par uolũte humaine:	en aucun temps par volunte humaine:
inspirez du sainct esperit lont dicte.	inspirez du sainct esperit l’ont dicte.
Et pourtãt (cõme dit sainct Paul)	Et pourtant (comme dit sainct Paul)
est utile a endoctriner/ a reprẽdre/ a	est utile a endoctriner/ a reprendre/ a
q̃ lhõme de dieu soit entier/ instruict	que l’homme de dieu soit entier/ instruict
a toute bonne oeuure. Par lesquelz	a toute bonne oeuvre. Par lesquelz
pertemẽt mõstre que la reigle de nr̃e	pertement monstre que la reigle de notre
dieu/ selon laquelle seulemẽt nous	dieu/ selon laquelle seulement nous
Preface	Preface
cela qui cõcerne dieu ⁊ nostre salut.	cela qui concerne dieu et nostre salut.
nous exhorte le saĩct apostre de Ie¬	nous exhorte le sainct apostre de Je¬
sus christ/ disant en ceste maniere:	sus christ/ disant en ceste maniere:
quoy nous sommes paruenus: af¬	quoy nous sommes parvenus: af¬
Or est il certain que en suyuant	Or est il certain que en suyvant
les opiniõs ⁊ fantasies des hõmes	les opinions et fantasies des hommes
differentes/ tant uariables et con¬	differentes/ tant variables et con¬
mais ne pourrõs estre dung accord:	mais ne pourrons estre d’ung accord:
mais nous est besoing prendre une	mais nous est besoing prendre une
lumiere/ pour nr̃e directiõ ⁊ adresse:	lumiere/ pour notre direction et adresse:
entiere reigle/ qͥ ne peult ny ne doibt	entiere reigle/ qui ne peult ny ne doibt
estre aultre que la seule parolle de	estre aultre que la seule parolle de
choses diuines tout hõme est men¬	choses divines tout homme est men¬
quoy tresbien conclud iceluy sainct	quoy tres bien conclud iceluy sainct
de Lautheur.	de L’autheur.
reigle/ paix sera sur eulx et miseri¬	reigle/ paix sera sur eulx et miseri¬
tres: car il ny a que une seule uoye	tres: car il n’y a que une seule voye
de salut. Il est donc tres euidẽt que	de salut. Il est donc tres evident que
⁊ seul fondement de nostre foy: par	et seul fondement de nostre foy: par
tenir chose qui soit touchant les cho	tenir chose qui soit touchant les cho¬
ses diuines: sinon ainsi quil est con¬	ses divines: sinon ainsi qu’il est con¬
rien y changer/ accroistre ou dimi¬	rien y changer/ accroistre ou dimi¬
foy: mais folle opinion/ ymagina¬	foy: mais folle opinion/ ymagina¬
tiõ/ sõge/ erreur/ deceptiõ ⁊ resuerie.	tion/ songe/ erreur/ deception et resverie.
re de entreprendre/ adiouster/ inuen	re de entreprendre/ adjouster/ inven¬
cõque a icelle tressaincte ⁊ immacu¬	conque a icelle tres saincte et immacu¬
lee parolle: mais en tout ⁊ par tout	lee parolle: mais en tout et par tout
droicte purete ⁊ claire simplicite: sãs	droicte purete et claire simplicite: sans
q̃ le sainct esperit ne la reuelee. Et ce	que le sainct esperit ne la revelee. Et ce
Preface	Preface
uoyre et feust ung ange du ciel.	voyre et feust ung ange du ciel.
temps ne coustume au cõtraire/ cõ¬	temps ne coustume au contraire/ com¬
bien longue q̃lle soit ou puisse estre:	bien longue quelle soit ou puisse estre:
muable. Parquoy le droict diuin ne	muable. Parquoy le droict divin ne
longueur ou antiquite de temps/ ne	longueur ou antiquite de temps/ ne
mue ou chãge par traditiõs ou cõsti	mue ou change par traditions ou consti¬
dieu demeure eternellement stable/	dieu demeure eternellement stable/
sance ne peult au cõtraire. Et si par	sance ne peult au contraire. Et si par
quelque tẽps on a uescu/ dit/ p̃sche/	quelque temps on a vescu/ dit/ presche/
trement que icelle saincte parolle ne	trement que icelle saincte parolle ne
de allegation. Car le tẽps combien	de allegation. Car le temps combien
long quil soit nest rien estime ou re¬	long qu’il soit n’est rien estime ou re¬
est escript: Mille ans en la p̃sence de	est escript: Mille ans en la presence de
dire cõme riẽ, ou bien peu de chose.	dire comme rien, ou bien peu de chose.
de Lautheur.	de L’autheur.
oportun/ iouxte son bon plaisir/ au¬	oportun/ jouxte son bon plaisir/ au¬
fester sa uerite/ lequel tẽps ne poeut	fester sa verite/ lequel temps ne poeut
estre auãce ne retarde. Car le ꝓpos	estre avance ne retarde. Car le propos
appertemẽt mõstre ⁊ declaire en la	appertement monstre et declaire en la
filz/ lequel nest point incõtinẽt ue¬	filz/ lequel n’est point incontinent ve¬
nu apres la trãsgression de Adam:	nu apres la transgression de Adam:
lespace de plus de troys mille ans a	l’espace de plus de troys mille ans a
non obstant/ quãd la plenitude du	non obstant/ quand la plenitude du
tẽps ordõne de dieu a este accõplye/	temps ordonne de dieu a este accomplye/
fẽme/ faict soubz la loy: affin qͥl ra¬	femme/ faict soubz la loy: affin qu’il ra¬
Or apres nous auoir faict ceste	Or apres nous avoir faict ceste
grãde misericorde/ ne seroit ce pas	grande misericorde/ ne seroit ce pas
titude/ au lieu de luy rẽdre graces ⁊	titude/ au lieu de luy rendre graces et
ritable dilectiõ (par laq̃lle il a dõne	ritable dilection (par laquelle il a donne
Preface	Preface
il tant attendu de uenir/ que nest il	il tant attendu de venir/ que n’est il
Iay subioinct cecy/ pour toucher	J’ay subjoinct cecy/ pour toucher
⁊ abbatre lingratitude ⁊ arrogance	et abbatre l’ingratitude et arrogance
quelz au temps present (auquel il a	quelz au temps present (auquel il a
manifester par sa saincte parolle et	manifester par sa saincte parolle et
euãgile de salut: leq̃l en aucun tẽps	evangile de salut: lequel en aucun temps
se/ contẽne/ mis soubz le pied/ corrõ¬	se/ contemne/ mis soubz le pied/ corrom¬
blaspheme ou aultres sẽblables. Et	blaspheme ou aultres semblables. Et
pourquoy a il tãt attẽdu? pourquoy	pourquoy a il tant attendu? pourquoy
decesseurs nõt il pas bien uescu? Il	decesseurs n’ont il pas bien vescu? Il
eulx/ tant de grandz clercz ⁊ sages	eulx/ tant de grandz clercz et sages
gentz suyuãtz les cõciles ⁊ determi	gentz suyvantz les conciles et determi¬
nies ⁊ ordonnances du pape/ pour¬	nies et ordonnances du pape/ pour¬
rolles de gẽs ignorãs ou mocqueͬs/	rolles de gens ignorans ou mocqueurs/
de Lautheur.	de L’autheur.
lesquelles parolles leur ignorance	lesquelles parolles leur ignorance
tout notoire que aux choses de dieu	tout notoire que aux choses de dieu
rien ilz nentendẽt/ mais par infide¬	rien ilz n’entendent/ mais par infide¬
crainte ne reuerẽce proferent horri¬	crainte ne reverence proferent horri¬
de lire ⁊ fureur de dieu/ demõstrant	de l’ire et fureur de dieu/ demonstrant
de telles gẽs ineuitable ruine ⁊ espo	de telles gens inevitable ruine et espo¬
les parolles ⁊ allegatiõs/ sont inu¬	les parolles et allegations/ sont inu¬
ce/ car les turcz ⁊ sarrazins en di¬	ce/ car les turcz et sarrazins en di¬
roient bien autant de leur loy.	roient bien autant de leur loy.
prendre ⁊ receuoir le don ⁊ grace de	prendre et recevoir le don et grace de
le nous dõner/ sans disputer, pour¬	le nous donner/ sans disputer, pour¬
quoy il a attendu iusques a ce tẽps/	quoy il a attendu jusques a ce temps/
lite de personnages/ ne ainsi parler	lite de personnages/ ne ainsi parler
deuant ont uescu. Car dieu est puis¬	devant ont vescu. Car dieu est puis¬
Preface	Preface
