¶ Sũmaire/ ⁊ briefue	¶ Summaire/ et briefve
declaration daucuns lieux	declaration d’aucuns lieux
fort necessaires a ung	fort necessaires a ung
chascun Chrestien/	chascun Chrestien/
cõfiãce en	confiance en
Dieu/	Dieu/
et ayder son	et ayder son
prochain.	prochain.
gatoire nouuelle¬	gatoire nouvelle¬
mẽt adiouste	ment adjouste
sur la	sur la
fin.	fin.
¶ En mansuetude ⁊ doulceur rece	¶ En mansuetude et doulceur rece¬
uez la parolle de Dieu/ laquelle est	vez la parolle de Dieu/ laquelle est
puissante de sauuer uoz ames.	puissante de sauver voz ames.
S. Iehan au douziesme.	Sainct Jehan au douziesme.
receoit mes parolles/ il a qui le iu¬	receoit mes parolles/ il a qui le ju¬
ge. Ma parolle laquelle iay parle/	ge. Ma parolle laquelle j’ay parle/
le iugera au dernier iour.	le jugera au dernier jour.
Chrestiens ne uous arrestez au	Chrestiens ne vous arrestez au
rõt de ce liure: car ilz sont aueugles	ront de ce livre: car ilz sont aveugles
⁊ conducteurs daueugles.	et conducteurs d’aveugles.
A tous ceulx qui ayment nostre	A tous ceulx qui ayment nostre
Seigneur/ ⁊ ont desir de	Seigneur/ et ont desir de
uerite:	verite:
Salut.	Salut.
E	E¬
N ce temps auquel il	N ce temps auquel il
reueler sa saincte clarte	reveler sa saincte clarte
⁊ lumiere sur ceulx qui	et lumiere sur ceulx qui
estoient es tresprofondes tenebres/	estoient es tres profondes tenebres/
plus grãdes que celles quon attou	plus grandes que celles qu’on attou¬
sieurs sont qui ne peuuent croire	sieurs sont qui ne peuvent croire
auoir este en telles tenebres/ neant¬	avoir este en telles tenebres/ neant¬
moins tous confessent bien quil ya	moins tous confessent bien qu’il y a
fort a dire sus lestat de ceulx qui	fort a dire sus l’estat de ceulx qui
et quilz nont faict leur office deu¬	et qu’ilz n’ont faict leur office deu¬
ment. Mais de congnoistre la prin	ment. Mais de congnoistre la prin¬
cipale cause de lerreur: ilz ne peuuẽt	cipale cause de l’erreur: ilz ne peuvent
a cause de la grosse cecite/ trouble/ ⁊	a cause de la grosse cecite/ trouble/ et
este enuirõne ⁊ enueloppe/ ne po¬	este environne et enveloppe/ ne po¬
uans entẽdre ne croire quil ayt este	vans entendre ne croire qu’il ayt este
possible que tout ayt este si fort chã	possible que tout ayt este si fort chan¬
ge et gaste: tellement quil ny soit	ge et gaste: tellement qu’il n’y soit
estre: ⁊ quil ne pourroit estre que en	estre: et qu’il ne pourroit estre que en
si long tẽps il ny eust quelcun con¬	si long temps il n’y eust quelcun con¬
tredisant/ ⁊ ayãt quelque cõgnois¬	tredisant/ et ayant quelque congnois¬
sance de uerite: ueu que tant de mi	sance de verite: veu que tant de mi¬
temples ont este esleuez/ tant de re¬	temples ont este eslevez/ tant de re¬
ligions fondees ou innumerables	ligions fondees ou innumerables
ont uescu: lesquelz on a estime plus	ont vescu: lesquelz on a estime plus
que sainctz. Car ceulx qui ont este	que sainctz. Car ceulx qui ont este
tousiours tache les auancer ⁊ hon¬	tousjours tache les avancer et hon¬
norer.	norer.
Entendez tous ceulx qui aymez	Entendez tous ceulx qui aymez
uerite: ⁊ ne uous fondez en uoz en	verite: et ne vous fondez en voz en¬
ce: mais en Dieu/ duquel le propos	ce: mais en Dieu/ duquel le propos
est immuable/ ⁊ ce quil dit ne peult	est immuable/ et ce qu’il dit ne peult
estre autrement. Il fault que tout	estre autrement. Il fault que tout
ce quil a predict par ses seruiteurs	ce qu’il a predict par ses serviteurs
uous trouuerez q̃ tout deuoit adue	vous trouverez que tout devoit adve¬
nir ainst quil a este/ ⁊ telle seductiõ	nir ainst qu’il a este/ et telle seduction
deuoit uenir/ ⁊ q̃ tout deuoit estre	devoit venir/ et que tout devoit estre
gaste ⁊ destruit plus quon ne pour¬	gaste et destruit plus qu’on ne pour¬
il uient que uous ne pouez croire	il vient que vous ne povez croire
que si grãde tromperie ayt obtenu	que si grande tromperie ayt obtenu
⁊ regne. Et en regardant la saincte	et regne. Et en regardant la saincte
escripture plus en congnoistrez par	escripture plus en congnoistrez par
nez uous garde en la lisant/ que ne	nez vous garde en la lisant/ que ne
la tirez a uostre sens/ la faisant ser	la tirez a vostre sens/ la faisant ser¬
uir a uoz affections en foulant la	vir a voz affections en foulant la
pasture des brebis/ la parolle de	pasture des brebis/ la parolle de
re/ ⁊ marchant sus aux piedz/ ou	re/ et marchant sus aux piedz/ ou
que par icelle uous traictez cruelle	que par icelle vous traictez cruelle¬
ment uoz freres/ troublant tout/	ment voz freres/ troublant tout/
frappant de uoz cornes: Mais en	frappant de voz cornes: Mais en
donner honneur et gloire au seul	donner honneur et gloire au seul
Dieu/ sãs se arrester a aucune crea	Dieu/ sans se arrester a aucune crea¬
ture/ ne mettre le salut en autre que	ture/ ne mettre le salut en autre que
en Dieu/ sans estimer autre chose	en Dieu/ sans estimer autre chose
a charite/ a garder amitie/ paix/ et	a charite/ a garder amitie/ paix/ et
concorde auec tous/ tant quil est en	concorde avec tous/ tant qu’il est en
uous. Aprenez la benignite ⁊ doul	vous. Aprenez la benignite et doul¬
ceur du sauueur/ ⁊ non point la cru	ceur du sauveur/ et non point la cru¬
chez a la destruction des uices ⁊ pe	chez a la destruction des vices et pe¬
chez/ ⁊ au salut des pecheurs en tou	chez/ et au salut des pecheurs en tou¬
te doulceur. Administrez les corre¬	te doulceur. Administrez les corre¬
ctions ameres en toute charite (ce	ctions ameres en toute charite (ce
sant ⁊ prenant tousiours de la sain	sant et prenant tousjours de la sain¬
cte escripture. Car es maladies fort	cte escripture. Car es maladies fort
dangereuses et mortelles ne fault	dangereuses et mortelles ne fault
aller a la uolee: mais user de bons	aller a la volee: mais user de bons
faire du salut en ce qui touche lame	faire du salut en ce qui touche l’ame
ne fault proposer que choses trescer	ne fault proposer que choses tres cer¬
taines/ lesquelles on prend de lescri	taines/ lesquelles on prend de l’escri¬
pture saincte tãt seulemẽt/ laquelle	pture saincte tant seulement/ laquelle
Nul ne se espargne a ayder sõ pro¬	Nul ne se espargne a ayder son pro¬
chain. Nul aussi ne reiecte ladmoni	chain. Nul aussi ne rejecte l’admoni¬
tion ⁊ conseil daultruy: Mais que	tion et conseil d’aultruy: Mais que
tout soit prouue/ et quon tienne ce	tout soit prouve/ et qu’on tienne ce
mauuais. Non point ainsi quil noꝰ	mauvais. Non point ainsi qu’il nous
semble: mais comme la saincte escri	semble: mais comme la saincte escri¬
pture monstre quon doibt receuoir	pture monstre qu’on doibt recevoir
ou reiecter.	ou rejecter.
suis debteur ⁊ tenu a tous de ce que	suis debteur et tenu a tous de ce que
nostre Seigñr a mis en moy/ pour	nostre Seigneur a mis en moy/ pour
le bien/ proffit/ ⁊ salut dũg chascun	le bien/ proffit/ et salut d’ung chascun
(ne uoulãt nuyre a personne: mais	(ne voulant nuyre a personne: mais
honneur ⁊ gloire au seul Dieu) a	honneur et gloire au seul Dieu) a
tous offre ⁊ presente ce que nostre	tous offre et presente ce que nostre
Seigneur ma donne/ priant ung	Seigneur m’a donne/ priant ung
chascun pour lamour diceluy qui	chascun pour l’amour d’iceluy qui
seul filz treschier pour nous/ quen	seul filz tres chier pour nous/ qu’en
toute diligẽce par une ardente affe	toute diligence par une ardente affe¬
ction de congnoistre uerite/ en la¬	ction de congnoistre verite/ en la¬
quelle gist lhonneur de Dieu/ on	quelle gist l’honneur de Dieu/ on
selon la loy de Dieu/ selon le iuge¬	selon la loy de Dieu/ selon le juge¬
ment de lescripture. Priãt le pere	ment de l’escripture. Priant le pere
tout plein de misericorde/ qͥl uueille	tout plein de misericorde/ qu’il vueille
et soit son bon plaisir plus claire¬	et soit son bon plaisir plus claire¬
sance au paoure monde/ chassant	sance au paovre monde/ chassant
toutes tenebres derreur par le so¬	toutes tenebres d’erreur par le so¬
leil de iustice nostre Seigneur Ie¬	leil de justice nostre Seigneur Je¬
sus/ uraye lumiere ⁊ uerite/ illumi	sus/ vraye lumiere et verite/ illumi¬
rans par son sainct esperit: telle¬	rans par son sainct esperit: telle¬
mẽt que de toutes partz du monde	ment que de toutes partz du monde
tous uiennẽt adorer nostre pere en	tous viennent adorer nostre pere en
son sainct tabernacle en son propi¬	son sainct tabernacle en son propi¬
pteur Iesus/ auquel ⁊ par le¬	pteur Jesus/ auquel et par le¬
quel il soit seruy/ adore/	quel il soit servy/ adore/
⁊ honnore/ selon sa	et honnore/ selon sa
saincte uolunte:	saincte volunte:
mouue¬	mouve¬
ment	ment
du sainct	du sainct
esperit.	esperit.
